"Lender name","University","Country / Main Campus","Criteria","Source","Courses","_RowNumber","_UniversityOriginal","_CountryOriginal","_UniversityNorm","_CountryNormOriginal","_CountryNormProposed","_ChangedUniversity","_ChangedCountry","_CountryConfidence","_CountryBreakdown"
"Leapfinance","Stony Brook University","United States of America","Listed","https://leapfinance.com/courses","Any course","3704","Stony Brook University","United States of America","stony brook university","united states of america","united states of america","False","False","high","united states of america:7"
"Prodigy","Stony Brook University","United States of America","Listed","https://prodigyfinance.com/where-can-i-study/","Business & Management; Computer Science & IT; Engineering & Technology; Natural Sciences; Social Sciences","3705","Stony Brook University","United States of America","stony brook university","united states of america","united states of america","False","False","high","united states of america:7"
"Union Bank of India","Stony Brook University","United States of America","Category B","As per bank list - https://www.unionbankofindia.bank.in/en/details/special-union-education-loan-schemes-for-premier-institute-abroad-studies","MANAGEMENT; STEM","3706","Stony Brook University","United States of America","stony brook university","united states of america","united states of america","False","False","high","united states of america:7"
"Yes Bank","Stony Brook University","United States of America","Top 300-500 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","3707","Stony Brook University","United States of America","stony brook university","united states of america","united states of america","False","False","high","united states of america:7"
"Bank of India","Suan Sunandha Rajabhat University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","3708","Suan Sunandha Rajabhat University","United States of America","suan sunandha rajabhat university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Sudan University of Science & Technology","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","3709","Sudan University of Science & Technology","United States of America","sudan university of science and technology","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Suez Canal University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","3710","Suez Canal University","United States of America","suez canal university","united states of america","united states of america","False","False","high","united states of america:1"
"Mpower","Suffolk University","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM","3711","Suffolk University","United States of America","suffolk university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Suleyman Demirel University Turkey","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","3712","Suleyman Demirel University Turkey","United States of America","suleyman demirel university turkey","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Sultan Qaboos University","Oman","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","3713","Sultan Qaboos University","Oman","sultan qaboos university","oman","oman","False","False","high","oman:3"
"Indian Overseas Bank","Sultan Qaboos University","Oman","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","3714","Sultan Qaboos University","Oman","sultan qaboos university","oman","oman","False","False","high","oman:3"
"Yes Bank","Sultan Qaboos University","Oman","Top 300-500 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","3715","Sultan Qaboos University","Oman","sultan qaboos university","oman","oman","False","False","high","oman:3"
"Bank of India","Sumy State University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","3716","Sumy State University","United States of America","sumy state university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Sun Yat Sen University (Zhongshan University)","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","3717","Sun Yat Sen University (Zhongshan University)","United States of America","sun yat sen university zhongshan university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Sun Yat-sen University","China","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","3718","Sun Yat-sen University","China","sun yat sen university","china","china","False","False","high","china:3"
"Indian Overseas Bank","Sun Yat-sen University","China","Top 200 to 300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","3719","Sun Yat-sen University","China","sun yat sen university","china","china","False","False","high","china:3"
"Yes Bank","Sun Yat-sen University","China","Top 75-300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","3720","Sun Yat-sen University","China","sun yat sen university","china","china","False","False","high","china:3"
"Bank of Baroda","Sungkyunkwan University","South Korea","Listed","As per bank list - https://bankofbaroda.bank.in/personal-banking/loans/education-loan/-/media/Project/BOB/CountryWebsites/India/pdfs2/2023/23-12/STEM-Courses-new.pdf","Medical; STEM","3721","Sungkyunkwan University","South Korea","sungkyunkwan university","south korea","south korea","False","False","high","south korea:4"
"Bank of India","Sungkyunkwan University","South Korea","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","3722","Sungkyunkwan University","South Korea","sungkyunkwan university","south korea","south korea","False","False","high","south korea:4"
"Indian Overseas Bank","Sungkyunkwan University","South Korea","Top 50 to 200 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","3723","Sungkyunkwan University","South Korea","sungkyunkwan university","south korea","south korea","False","False","high","south korea:4"
"Yes Bank","Sungkyunkwan University","South Korea","Top 75-300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","3724","Sungkyunkwan University","South Korea","sungkyunkwan university","south korea","south korea","False","False","high","south korea:4"
"Bank of Baroda","Sungkyunkwan University GSB","South Korea","Listed","As per bank list - https://bankofbaroda.bank.in/personal-banking/loans/education-loan/-/media/Project/BOB/CountryWebsites/India/pdfs/management-course-new.pdf","Management","3725","Sungkyunkwan University GSB","South Korea","sungkyunkwan university gsb","south korea","south korea","False","False","high","south korea:1"
"Bank of India","Sunway University","Malaysia","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","3726","Sunway University","Malaysia","sunway university","malaysia","malaysia","False","False","high","malaysia:3"
"Indian Overseas Bank","Sunway University","Malaysia","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","3727","Sunway University","Malaysia","sunway university","malaysia","malaysia","False","False","high","malaysia:3"
"Yes Bank","Sunway University","Malaysia","Top 300-500 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","3728","Sunway University","Malaysia","sunway university","malaysia","malaysia","False","False","high","malaysia:3"
"Leapfinance","SUNY at Albany","United States of America","Listed","https://leapfinance.com/courses","Any course","3729","SUNY at Albany","United States of America","suny at albany","united states of america","united states of america","False","False","medium","united states of america:2"
