"Lender name","University","Country / Main Campus","Criteria","Source","Courses","_RowNumber","_UniversityOriginal","_CountryOriginal","_UniversityNorm","_CountryNormOriginal","_CountryNormProposed","_ChangedUniversity","_ChangedCountry","_CountryConfidence","_CountryBreakdown"
"Bank of India","A. T. Still University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","2","A. T. Still University","United States of America","a t still university","united states of america","united states of america","False","False","medium","united states of america:2"
"Mpower","A. T. Still University","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM","3","A. T. Still University","United States of America","a t still university","united states of america","united states of america","False","False","medium","united states of america:2"
"Bank of Baroda","Aalborg University","Denmark","Listed","As per bank list - https://bankofbaroda.bank.in/personal-banking/loans/education-loan/-/media/Project/BOB/CountryWebsites/India/pdfs2/2023/23-12/STEM-Courses-new.pdf","STEM","4","Aalborg University","Denmark","aalborg university","denmark","denmark","False","False","high","denmark:4"
"Bank of India","Aalborg University","Denmark","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","5","Aalborg University","Denmark","aalborg university","denmark","denmark","False","False","high","denmark:4"
"Indian Overseas Bank","Aalborg University","Denmark","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","6","Aalborg University","Denmark","aalborg university","denmark","denmark","False","False","high","denmark:4"
"Yes Bank","Aalborg University","Denmark","Top 300-500 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","7","Aalborg University","Denmark","aalborg university","denmark","denmark","False","False","high","denmark:4"
"Bank of Baroda","Aalto University","Finland","Listed","As per bank list - https://bankofbaroda.bank.in/personal-banking/loans/education-loan/-/media/Project/BOB/CountryWebsites/India/pdfs2/2023/23-12/STEM-Courses-new.pdf","STEM","8","Aalto University","Finland","aalto university","finland","finland","False","False","high","finland:4"
"Bank of India","Aalto University","Finland","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","9","Aalto University","Finland","aalto university","finland","finland","False","False","high","finland:4"
"Indian Overseas Bank","Aalto University","Finland","Top 50 to 200 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","10","Aalto University","Finland","aalto university","finland","finland","False","False","high","finland:4"
"Yes Bank","Aalto University","Finland","Top 75-300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","11","Aalto University","Finland","aalto university","finland","finland","False","False","high","finland:4"
"Bank of India","Aarhus University","Denmark","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","12","Aarhus University","Denmark","aarhus university","denmark","denmark","False","False","high","denmark:4"
"Indian Overseas Bank","Aarhus University","Denmark","Top 50 to 200 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","13","Aarhus University","Denmark","aarhus university","denmark","denmark","False","False","high","denmark:4"
"Union Bank of India","Aarhus University","Denmark","Category A","As per bank list - https://www.unionbankofindia.bank.in/en/details/special-union-education-loan-schemes-for-premier-institute-abroad-studies","Management; STEM; and Medical","14","Aarhus University","Denmark","aarhus university","denmark","denmark","False","False","high","denmark:4"
"Yes Bank","Aarhus University","Denmark","Top 75-300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","15","Aarhus University","Denmark","aarhus university","denmark","denmark","False","False","high","denmark:4"
"Bank of India","Abant Izzet Baysal University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","16","Abant Izzet Baysal University","United States of America","abant izzet baysal university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Abdullah Gul University Kayseri","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","17","Abdullah Gul University Kayseri","United States of America","abdullah gul university kayseri","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Aberystwyth University","United Kingdom","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","18","Aberystwyth University","United Kingdom","aberystwyth university","united kingdom","united kingdom","False","False","high","united kingdom:3"
"Indian Overseas Bank","Aberystwyth University","United Kingdom","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","19","Aberystwyth University","United Kingdom","aberystwyth university","united kingdom","united kingdom","False","False","high","united kingdom:3"
"Yes Bank","Aberystwyth University","United Kingdom","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","20","Aberystwyth University","United Kingdom","aberystwyth university","united kingdom","united kingdom","False","False","high","united kingdom:3"
"Bank of India","Abilene Christian University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","21","Abilene Christian University","United States of America","abilene christian university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Abo Akademi University","Finland","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","22","Abo Akademi University","Finland","abo akademi university","finland","finland","False","False","high","finland:3"
"Indian Overseas Bank","Abo Akademi University","Finland","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","23","Abo Akademi University","Finland","abo akademi university","finland","finland","False","False","high","finland:3"
"Yes Bank","Abo Akademi University","Finland","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","24","Abo Akademi University","Finland","abo akademi university","finland","finland","False","False","high","finland:3"
"Bank of India","Abu Dhabi University","United Arab Emirates","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","25","Abu Dhabi University","United Arab Emirates","abu dhabi university","united arab emirates","united arab emirates","False","False","high","united arab emirates:3"
"Indian Overseas Bank","Abu Dhabi University","United Arab Emirates","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","26","Abu Dhabi University","United Arab Emirates","abu dhabi university","united arab emirates","united arab emirates","False","False","high","united arab emirates:3"
"Yes Bank","Abu Dhabi University","United Arab Emirates","Top 300-500 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","27","Abu Dhabi University","United Arab Emirates","abu dhabi university","united arab emirates","united arab emirates","False","False","high","united arab emirates:3"
"Bank of India","Abylkas Saginov Karaganda Technical University","Kazakhstan","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","28","Abylkas Saginov Karaganda Technical University","Kazakhstan","abylkas saginov karaganda technical university","kazakhstan","kazakhstan","False","False","high","kazakhstan:3"
"Indian Overseas Bank","Abylkas Saginov Karaganda Technical University","Kazakhstan","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","29","Abylkas Saginov Karaganda Technical University","Kazakhstan","abylkas saginov karaganda technical university","kazakhstan","kazakhstan","False","False","high","kazakhstan:3"
"Yes Bank","Abylkas Saginov Karaganda Technical University","Kazakhstan","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","30","Abylkas Saginov Karaganda Technical University","Kazakhstan","abylkas saginov karaganda technical university","kazakhstan","kazakhstan","False","False","high","kazakhstan:3"
"Bank of India","Acadia University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","31","Acadia University","United States of America","acadia university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Acibadem University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","32","Acibadem University","United States of America","acibadem university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Adam Mickiewicz University","Poland","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","33","Adam Mickiewicz University","Poland","adam mickiewicz university","poland","poland","False","False","high","poland:3 || united states of america:1"
"Indian Overseas Bank","Adam Mickiewicz University","Poland","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","34","Adam Mickiewicz University","Poland","adam mickiewicz university","poland","poland","False","False","high","poland:3 || united states of america:1"
"Yes Bank","Adam Mickiewicz University","Poland","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","35","Adam Mickiewicz University","Poland","adam mickiewicz university","poland","poland","False","False","high","poland:3 || united states of america:1"
"Bank of India","Adam Mickiewicz University","Poland","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","36","Adam Mickiewicz University","United States of America","adam mickiewicz university","united states of america","poland","False","True","high","poland:3 || united states of america:1"
"Bank of India","Addis Ababa University","Ethiopia","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","37","Addis Ababa University","Ethiopia","addis ababa university","ethiopia","ethiopia","False","False","high","ethiopia:3"
"Indian Overseas Bank","Addis Ababa University","Ethiopia","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","38","Addis Ababa University","Ethiopia","addis ababa university","ethiopia","ethiopia","False","False","high","ethiopia:3"
"Yes Bank","Addis Ababa University","Ethiopia","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","39","Addis Ababa University","Ethiopia","addis ababa university","ethiopia","ethiopia","False","False","high","ethiopia:3"
"Bank of India","Adelphi University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","40","Adelphi University","United States of America","adelphi university","united states of america","united states of america","False","False","medium","united states of america:2"
"Mpower","Adelphi University","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM","41","Adelphi University","United States of America","adelphi university","united states of america","united states of america","False","False","medium","united states of america:2"
"Bank of India","Adiyaman University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","42","Adiyaman University","United States of America","adiyaman university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Adnan Menderes University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","43","Adnan Menderes University","United States of America","adnan menderes university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Afyon Kocatepe University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","44","Afyon Kocatepe University","United States of America","afyon kocatepe university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Aga Khan University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","45","Aga Khan University","United States of America","aga khan university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","AGH University of Krakow","Poland","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","46","AGH University of Krakow","Poland","agh university of krakow","poland","poland","False","False","high","poland:3 || united states of america:1"
"Indian Overseas Bank","AGH University of Krakow","Poland","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","47","AGH University of Krakow","Poland","agh university of krakow","poland","poland","False","False","high","poland:3 || united states of america:1"
"Yes Bank","AGH University of Krakow","Poland","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","48","AGH University of Krakow","Poland","agh university of krakow","poland","poland","False","False","high","poland:3 || united states of america:1"
"Bank of India","AGH University of Krakow","Poland","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","49","AGH University of Krakow","United States of America","agh university of krakow","united states of america","poland","False","True","high","poland:3 || united states of america:1"
"Bank of India","Agri Mountain University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","50","Agri Mountain University","United States of America","agri mountain university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Agricultural University of Athens","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","51","Agricultural University of Athens","United States of America","agricultural university of athens","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Agricultural University of Krakow","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","52","Agricultural University of Krakow","United States of America","agricultural university of krakow","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","AgroParisTech","France","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","53","AgroParisTech","France","agroparistech","france","france","False","False","high","france:1"
"Bank of India","Ahi Evran University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","54","Ahi Evran University","United States of America","ahi evran university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Ahlia University","Bahrain","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","55","Ahlia University","Bahrain","ahlia university","bahrain","bahrain","False","False","high","bahrain:3"
"Indian Overseas Bank","Ahlia University","Bahrain","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","56","Ahlia University","Bahrain","ahlia university","bahrain","bahrain","False","False","high","bahrain:3"
"Yes Bank","Ahlia University","Bahrain","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","57","Ahlia University","Bahrain","ahlia university","bahrain","bahrain","False","False","high","bahrain:3"
"Bank of India","Ahmadu Bello University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","58","Ahmadu Bello University","United States of America","ahmadu bello university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Ahvaz Jundishapur University of Medical Sciences","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","59","Ahvaz Jundishapur University of Medical Sciences","United States of America","ahvaz jundishapur university of medical sciences","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Aichi Medical University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","60","Aichi Medical University","United States of America","aichi medical university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Ain Shams University","Egypt","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","61","Ain Shams University","Egypt","ain shams university","egypt","egypt","False","False","high","egypt:3"
"Indian Overseas Bank","Ain Shams University","Egypt","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","62","Ain Shams University","Egypt","ain shams university","egypt","egypt","False","False","high","egypt:3"
"Yes Bank","Ain Shams University","Egypt","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","63","Ain Shams University","Egypt","ain shams university","egypt","egypt","False","False","high","egypt:3"
"Bank of India","Air University Islamabad","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","64","Air University Islamabad","United States of America","air university islamabad","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Aix-Marseille University","France","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","65","Aix-Marseille University","France","aix marseille university","france","france","False","False","high","france:3"
"Indian Overseas Bank","Aix-Marseille University","France","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","66","Aix-Marseille University","France","aix marseille university","france","france","False","False","high","france:3"
"Yes Bank","Aix-Marseille University","France","Top 300-500 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","67","Aix-Marseille University","France","aix marseille university","france","france","False","False","high","france:3"
"Bank of India","Ajman University","United Arab Emirates","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","68","Ajman University","United Arab Emirates","ajman university","united arab emirates","united arab emirates","False","False","high","united arab emirates:3"
"Indian Overseas Bank","Ajman University","United Arab Emirates","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","69","Ajman University","United Arab Emirates","ajman university","united arab emirates","united arab emirates","False","False","high","united arab emirates:3"
"Yes Bank","Ajman University","United Arab Emirates","Top 300-500 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","70","Ajman University","United Arab Emirates","ajman university","united arab emirates","united arab emirates","False","False","high","united arab emirates:3"
"Bank of India","Ajou University","South Korea","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","71","Ajou University","South Korea","ajou university","south korea","south korea","False","False","high","south korea:3"
"Indian Overseas Bank","Ajou University","South Korea","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","72","Ajou University","South Korea","ajou university","south korea","south korea","False","False","high","south korea:3"
"Yes Bank","Ajou University","South Korea","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","73","Ajou University","South Korea","ajou university","south korea","south korea","False","False","high","south korea:3"
"Bank of India","Akdeniz University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","74","Akdeniz University","United States of America","akdeniz university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Akita University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","75","Akita University","United States of America","akita university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Aksaray University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","76","Aksaray University","United States of America","aksaray university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Al-Ahliyya Amman University","Jordan","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","77","Al Ahliyya Amman University","United States of America","al ahliyya amman university","united states of america","jordan","True","True","high","jordan:3 || united states of america:1"
"Bank of India","Al Ain University","United Arab Emirates","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","78","Al Ain University","United Arab Emirates","al ain university","united arab emirates","united arab emirates","False","False","high","united arab emirates:3"
"Indian Overseas Bank","Al Ain University","United Arab Emirates","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","79","Al Ain University","United Arab Emirates","al ain university","united arab emirates","united arab emirates","False","False","high","united arab emirates:3"
"Yes Bank","Al Ain University","United Arab Emirates","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","80","Al Ain University","United Arab Emirates","al ain university","united arab emirates","united arab emirates","False","False","high","united arab emirates:3"
"Bank of India","Al Azhar University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","81","Al Azhar University","United States of America","al azhar university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Al Baha University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","82","Al Baha University","United States of America","al baha university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Al Balqa Applied University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","83","Al Balqa Applied University","United States of America","al balqa applied university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Al Furat Al Awsat Technical University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","84","Al Furat Al Awsat Technical University","United States of America","al furat al awsat technical university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Al Imam Muhammad Ibn Saud Islamic University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","85","Al Imam Muhammad Ibn Saud Islamic University","United States of America","al imam muhammad ibn saud islamic university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Al Jouf University","Saudi Arabia","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","86","Al Jouf University","Saudi Arabia","al jouf university","saudi arabia","saudi arabia","False","False","high","saudi arabia:3"
"Indian Overseas Bank","Al Jouf University","Saudi Arabia","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","87","Al Jouf University","Saudi Arabia","al jouf university","saudi arabia","saudi arabia","False","False","high","saudi arabia:3"
"Yes Bank","Al Jouf University","Saudi Arabia","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","88","Al Jouf University","Saudi Arabia","al jouf university","saudi arabia","saudi arabia","False","False","high","saudi arabia:3"
"Bank of India","Al Nahrain University","Iraq","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","89","Al Nahrain University","Iraq","al nahrain university","iraq","iraq","False","False","high","iraq:3"
"Indian Overseas Bank","Al Nahrain University","Iraq","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","90","Al Nahrain University","Iraq","al nahrain university","iraq","iraq","False","False","high","iraq:3"
"Yes Bank","Al Nahrain University","Iraq","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","91","Al Nahrain University","Iraq","al nahrain university","iraq","iraq","False","False","high","iraq:3"
"Bank of India","Al Quds University Arab University in Jerusalem","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","92","Al Quds University Arab University in Jerusalem","United States of America","al quds university arab university in jerusalem","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Al-Ahliyya Amman University","Jordan","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","93","Al-Ahliyya Amman University","Jordan","al ahliyya amman university","jordan","jordan","False","False","high","jordan:3 || united states of america:1"
"Indian Overseas Bank","Al-Ahliyya Amman University","Jordan","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","94","Al-Ahliyya Amman University","Jordan","al ahliyya amman university","jordan","jordan","False","False","high","jordan:3 || united states of america:1"
"Yes Bank","Al-Ahliyya Amman University","Jordan","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","95","Al-Ahliyya Amman University","Jordan","al ahliyya amman university","jordan","jordan","False","False","high","jordan:3 || united states of america:1"
"Bank of India","Al-Farabi Kazakh National University","Kazakhstan","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","96","Al-Farabi Kazakh National University","Kazakhstan","al farabi kazakh national university","kazakhstan","kazakhstan","False","False","high","kazakhstan:3"
"Indian Overseas Bank","Al-Farabi Kazakh National University","Kazakhstan","Top 50 to 200 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","97","Al-Farabi Kazakh National University","Kazakhstan","al farabi kazakh national university","kazakhstan","kazakhstan","False","False","high","kazakhstan:3"
"Yes Bank","Al-Farabi Kazakh National University","Kazakhstan","Top 75-300 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","98","Al-Farabi Kazakh National University","Kazakhstan","al farabi kazakh national university","kazakhstan","kazakhstan","False","False","high","kazakhstan:3"
"Bank of India","Al-Quds University","Palestine","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","99","Al-Quds University","Palestine","al quds university","palestine","palestine","False","False","high","palestine:3"
"Indian Overseas Bank","Al-Quds University","Palestine","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","100","Al-Quds University","Palestine","al quds university","palestine","palestine","False","False","high","palestine:3"
"Yes Bank","Al-Quds University","Palestine","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","101","Al-Quds University","Palestine","al quds university","palestine","palestine","False","False","high","palestine:3"
"Bank of India","Alabama A&M University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","102","Alabama A&M University","United States of America","alabama a and m university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Alagappa University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","103","Alagappa University","United States of America","alagappa university","united states of america","united states of america","False","False","high","united states of america:1"
"Mpower","Albany College of Pharmacy and Health Sciences","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM","104","Albany College of Pharmacy and Health Sciences","United States of America","albany college of pharmacy and health sciences","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Albany Medical College","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","105","Albany Medical College","United States of America","albany medical college","united states of america","united states of america","False","False","medium","united states of america:2"
"Mpower","Albany Medical College","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM","106","Albany Medical College","United States of America","albany medical college","united states of america","united states of america","False","False","medium","united states of america:2"
"Bank of India","Albert Einstein College of Medicine","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","107","Albert Einstein College of Medicine","United States of America","albert einstein college of medicine","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Alexandria University","Egypt","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","108","Alexandria University","Egypt","alexandria university","egypt","egypt","False","False","high","egypt:3"
"Indian Overseas Bank","Alexandria University","Egypt","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","109","Alexandria University","Egypt","alexandria university","egypt","egypt","False","False","high","egypt:3"
"Yes Bank","Alexandria University","Egypt","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","110","Alexandria University","Egypt","alexandria university","egypt","egypt","False","False","high","egypt:3"
"Bank of India","Alexandru Ioan Cuza University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","111","Alexandru Ioan Cuza University","United States of America","alexandru ioan cuza university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Alfaisal University","Saudi Arabia","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","112","Alfaisal University","Saudi Arabia","alfaisal university","saudi arabia","saudi arabia","False","False","high","saudi arabia:3"
"Indian Overseas Bank","Alfaisal University","Saudi Arabia","Top 300+ as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","113","Alfaisal University","Saudi Arabia","alfaisal university","saudi arabia","saudi arabia","False","False","high","saudi arabia:3"
"Yes Bank","Alfaisal University","Saudi Arabia","Top 500 -1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","114","Alfaisal University","Saudi Arabia","alfaisal university","saudi arabia","saudi arabia","False","False","high","saudi arabia:3"
"Leapfinance","Alfred University","United States of America","Listed","https://leapfinance.com/courses","Any course","115","Alfred University","United States of America","alfred university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Aligarh Muslim University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","116","Aligarh Muslim University","United States of America","aligarh muslim university","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","All India Institute of Medical Sciences AIIMS","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","117","All India Institute of Medical Sciences AIIMS","United States of America","all india institute of medical sciences aiims","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of India","Allama Iqbal Open University","United States of America","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course","118","Allama Iqbal Open University","United States of America","allama iqbal open university","united states of america","united states of america","False","False","high","united states of america:1"
"Mpower","Allen College","United States of America","Listed","https://www.mpowerfinancing.com/get-a-loan/schools-we-support#schools","Healthcare & MBA (Within 2 yrs of UG); STEM","119","Allen College","United States of America","allen college","united states of america","united states of america","False","False","high","united states of america:1"
"Bank of Baroda","Alma Mater Studiorum - University of Bologna","Italy","Listed","As per bank list - https://bankofbaroda.bank.in/personal-banking/loans/education-loan/-/media/Project/BOB/CountryWebsites/India/pdfs2/2023/23-12/STEM-Courses-new.pdf","STEM","120","Alma Mater Studiorum - University of Bologna","Italy","alma mater studiorum university of bologna","italy","italy","False","False","high","italy:4"
"Bank of India","Alma Mater Studiorum - University of Bologna","Italy","Top 1000 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","121","Alma Mater Studiorum - University of Bologna","Italy","alma mater studiorum university of bologna","italy","italy","False","False","high","italy:4"
"Indian Overseas Bank","Alma Mater Studiorum - University of Bologna","Italy","Top 50 to 200 as per QS Rankings 2026","https://www.topuniversities.com/world-university-rankings","Any course","122","Alma Mater Studiorum - University of Bologna","Italy","alma mater studiorum university of bologna","italy","italy","False","False","high","italy:4"
