"_RowNumber","Lender name","_UniversityOriginal","University","_CountryOriginal","Country / Main Campus","_CountryBreakdown"
"5824","Bank of India","University of New England Australia","University of New England Australia","United States of America","Australia","australia:1 || united states of america:1"
"6792","Bank of India","Western University (University of Western Ontario)","Western University - University of Western Ontario","United States of America","Canada","canada:1 || united states of america:1"
