"UniversityNorm","RawNameVariants","RawNames","Rows","Lenders"
"western university university of western ontario","2","Western University - University of Western Ontario || Western University (University of Western Ontario)","2","Bank of India | Mpower"
"california state university los angeles","2","California State University - Los Angeles || California State University Los Angeles","2","Bank of India | Mpower"
"university of wisconsin milwaukee","2","University of Wisconsin Milwaukee || University of Wisconsin-Milwaukee","2","Bank of Baroda | Bank of India"
"california state university fullerton","2","California State University - Fullerton || California State University Fullerton","2","Bank of India | Mpower"
"university of tennessee chattanooga","2","University of Tennessee Chattanooga || University of Tennessee, Chattanooga","2","Bank of India | Prodigy"
"washington and lee university","2","Washington & Lee University || Washington and Lee University","2","Bank of India | Mpower"
"university of new england australia","2","University of New England Australia || University of New England, Australia","2","Bank of India | Prodigy"
"south dakota school of mines and technology","2","South Dakota School of Mines & Technology || South Dakota School of Mines and Technology","2","Bank of India | Mpower"
"cuny city college","2","CUNY - City College || CUNY City College","2","Mpower | Prodigy"
"university of michigan dearborn","2","University of Michigan Dearborn || University of Michigan-Dearborn","2","Bank of India | Mpower"
"southern illinois university edwardsville","2","Southern Illinois University Edwardsville || Southern Illinois University-Edwardsville","2","Bank of India | Mpower"
"franklin and marshall college","2","Franklin & Marshall College || Franklin and Marshall College","2","Bank of India | Mpower"
"embry riddle aeronautical university","2","Embry Riddle Aeronautical University || Embry-Riddle Aeronautical University","2","Bank of India | Leapfinance"
"california state university san marcos","2","California State University San Marcos || California State University-San Marcos","2","Bank of India | Mpower"
"university of nebraska omaha","2","University of Nebraska Omaha || University of Nebraska, Omaha","2","Bank of India | Prodigy"
"university of nevada las vegas","2","University of Nevada Las Vegas || University of Nevada, Las Vegas","2","Bank of India | Prodigy"
"california state university northridge","2","California State University Northridge || California State University-Northridge","2","Bank of India | Mpower"
"california state university san bernardino","2","California State University San Bernardino || California State University-San Bernardino","2","Bank of India | Mpower"
"university of missouri st louis","2","University of Missouri, St. Louis || University of Missouri-St Louis","2","Mpower | Prodigy"
"california state university sacramento","2","California State University Sacramento || California State University-Sacramento","2","Bank of India | Mpower"
