"RowNumber","Lender","University","UniversityNorm","CurrentCountry","CurrentCountryNorm","ExpectedCountryNorm","ExpectedSupportRows","Criteria","Source","Courses"
"2645","Bank of Baroda","National Cheng Kung University (NCKU)","national cheng kung university ncku","China","china","taiwan","3","Listed","As per bank list - https://bankofbaroda.bank.in/personal-banking/loans/education-loan/-/media/Project/BOB/CountryWebsites/India/pdfs2/2023/23-12/STEM-Courses-new.pdf","STEM"
"2698","Bank of Baroda","National Taiwan University","national taiwan university","China","china","taiwan","3","Listed","As per bank list - https://bankofbaroda.bank.in/personal-banking/loans/education-loan/-/media/Project/BOB/CountryWebsites/India/pdfs2/2023/23-12/STEM-Courses-new.pdf","Medical; STEM"
"2703","Bank of Baroda","National Taiwan University of Science and Technology (Taiwan Tech)","national taiwan university of science and technology taiwan tech","China","china","taiwan","3","Listed","As per bank list - https://bankofbaroda.bank.in/personal-banking/loans/education-loan/-/media/Project/BOB/CountryWebsites/India/pdfs2/2023/23-12/STEM-Courses-new.pdf","STEM"
"2717","Bank of Baroda","National Tsing Hua University","national tsing hua university","China","china","taiwan","3","Listed","As per bank list - https://bankofbaroda.bank.in/personal-banking/loans/education-loan/-/media/Project/BOB/CountryWebsites/India/pdfs2/2023/23-12/STEM-Courses-new.pdf","STEM"
"36","Bank of India","Adam Mickiewicz University","adam mickiewicz university","United States of America","united states of america","poland","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"49","Bank of India","AGH University of Krakow","agh university of krakow","United States of America","united states of america","poland","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"77","Bank of India","Al Ahliyya Amman University","al ahliyya amman university","United States of America","united states of america","jordan","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"141","Bank of India","American University of Beirut (AUB)","american university of beirut aub","United States of America","united states of america","lebanon","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"188","Bank of India","Applied Science Private University - Jordan","applied science private university jordan","United States of America","united states of america","jordan","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"239","Bank of India","Athens University of Economics and Business","athens university of economics and business","United States of America","united states of america","greece","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"314","Bank of India","Bar Ilan University","bar ilan university","United States of America","united states of america","israel","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"382","Bank of India","Ben Gurion University of the Negev","ben gurion university of the negev","United States of America","united states of america","israel","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"704","Bank of India","China University of Mining & Technology","china university of mining and technology","United States of America","united states of america","china","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"738","Bank of India","Christian Albrechts Universitat zu Kiel","christian albrechts universitat zu kiel","United States of America","united states of america","germany","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"747","Bank of India","Chung Ang University","chung ang university","United States of America","united states of america","south korea","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"908","Bank of India","Czech Technical University in Prague","czech technical university in prague","United States of America","united states of america","czechia","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"915","Bank of India","Daegu Gyeongbuk Institute of Science & Technology DGIST","daegu gyeongbuk institute of science and technology dgist","United States of America","united states of america","south korea","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"1048","Bank of India","East China University of Science & Technology","east china university of science and technology","United States of America","united states of america","china","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"1372","Bank of India","Government College University Faisalabad","government college university faisalabad","United States of America","united states of america","pakistan","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
"1593","Bank of India","Huazhong University of Science & Technology","huazhong university of science and technology","United States of America","united states of america","china","3","Top 3000 as per webometrics.org","https://www.webometrics.org/","Any course"
