"UniversityNorm","CanonicalUniversity","VariantsCount","TotalRows","Variants"
"georgetown university","Georgetown University","7","7","Georgetown University:7"
"university of kansas","University of Kansas","7","7","University of Kansas:7"
"george washington university","George Washington University","7","7","George Washington University:7"
"syracuse university","Syracuse University","7","7","Syracuse University:7"
"heidelberg university","Heidelberg University","7","7","Heidelberg University:7"
"university of notre dame","University of Notre Dame","7","7","University of Notre Dame:7"
"university of kentucky","University of Kentucky","7","7","University of Kentucky:7"
"georgia state university","Georgia State University","7","7","Georgia State University:7"
"university of glasgow","University of Glasgow","7","7","University of Glasgow:7"
"wake forest university","Wake Forest University","7","7","Wake Forest University:7"
"university of bristol","University of Bristol","7","7","University of Bristol:7"
"wayne state university","Wayne State University","7","7","Wayne State University:7"
"washington state university","Washington State University","7","7","Washington State University:7"
"university of pittsburgh","University of Pittsburgh","7","7","University of Pittsburgh:7"
"university of calgary","University of Calgary","7","7","University of Calgary:7"
"university of oklahoma","University of Oklahoma","7","7","University of Oklahoma:7"
"university of iowa","University of Iowa","7","7","University of Iowa:7"
"university of british columbia","University of British Columbia","7","7","University of British Columbia:7"
"university of queensland","University of Queensland","7","7","University of Queensland:7"
"chinese university of hong kong","Chinese University of Hong Kong","7","7","Chinese University of Hong Kong:7"
"university of delaware","University of Delaware","7","7","University of Delaware:7"
"brown university","Brown University","7","7","Brown University:7"
"utrecht university","Utrecht University","7","7","Utrecht University:7"
"brandeis university","Brandeis University","7","7","Brandeis University:7"
"university of leeds","University of Leeds","7","7","University of Leeds:7"
"vanderbilt university","Vanderbilt University","7","7","Vanderbilt University:7"
"iowa state university","Iowa State University","7","7","Iowa State University:7"
"mcgill university","McGill University","7","7","McGill University:7"
"university of south carolina","University of South Carolina","6","6","University of South Carolina:6"
"kyoto university","Kyoto University","6","6","Kyoto University:6"
"university of oregon","University of Oregon","6","6","University of Oregon:6"
"university of montreal","University of Montreal","6","6","University of Montreal:6"
"york university","York University","6","6","York University:6"
"worcester polytechnic institute","Worcester Polytechnic Institute","6","6","Worcester Polytechnic Institute:6"
"university of cincinnati","University of Cincinnati","6","6","University of Cincinnati:6"
"tsinghua university","Tsinghua University","6","6","Tsinghua University:6"
"city university of london","City, University of London","6","6","City, University of London:6"
"drexel university","Drexel University","6","6","Drexel University:6"
"university of new south wales","University of New South Wales","6","6","University of New South Wales:6"
"university of new mexico","University of New Mexico","6","6","University of New Mexico:6"
"rochester institute of technology","Rochester Institute of Technology","6","6","Rochester Institute of Technology:6"
"lehigh university","Lehigh University","6","6","Lehigh University:6"
"boston college","Boston College","6","6","Boston College:6"
"university of auckland","University of Auckland","6","6","University of Auckland:6"
"colorado state university","Colorado State University","6","6","Colorado State University:6"
"university of alabama","University of Alabama","6","6","University of Alabama:6"
"cardiff university","Cardiff University","6","6","Cardiff University:6"
"freie universitat berlin","Freie Universitat Berlin","6","6","Freie Universitat Berlin:6"
"university of north texas","University of North Texas","6","6","University of North Texas:6"
"university of amsterdam","University of Amsterdam","6","6","University of Amsterdam:6"
"university of birmingham","University of Birmingham","6","6","University of Birmingham:6"
"university of alberta","University of Alberta","6","6","University of Alberta:6"
"lancaster university","Lancaster University","6","6","Lancaster University:6"
"newcastle university","Newcastle University","6","6","Newcastle University:6"
"university of groningen","University of Groningen","6","6","University of Groningen:6"
"peking university","Peking University","6","6","Peking University:6"
"university of adelaide","University of Adelaide","6","6","University of Adelaide:6"
"queensland university of technology","Queensland University of Technology","6","6","Queensland University of Technology:6"
"ecole polytechnique federale de lausanne","Ecole Polytechnique Federale de Lausanne","6","6","Ecole Polytechnique Federale de Lausanne:6"
"university of texas at dallas","University of Texas at Dallas","6","6","University of Texas at Dallas:6"
"colorado school of mines","Colorado School of Mines","6","6","Colorado School of Mines:6"
"university of copenhagen","University of Copenhagen","6","6","University of Copenhagen:6"
"kansas state university","Kansas State University","6","6","Kansas State University:6"
"clarkson university","Clarkson University","6","6","Clarkson University:6"
"michigan technological university","Michigan Technological University","6","6","Michigan Technological University:6"
"ludwig maximilians university munich","Ludwig Maximilians University Munich","6","6","Ludwig Maximilians University Munich:6"
"clemson university","Clemson University","6","6","Clemson University:6"
"university of colorado boulder","University of Colorado Boulder","6","6","University of Colorado Boulder:6"
"erasmus university rotterdam","Erasmus University Rotterdam","6","6","Erasmus University Rotterdam:6"
"auburn university","Auburn University","6","6","Auburn University:6"
"delft university of technology","Delft University of Technology","6","6","Delft University of Technology:6"
"texas tech university","Texas Tech University","6","6","Texas Tech University:6"
"macquarie university","Macquarie University","6","6","Macquarie University:6"
"hong kong polytechnic university","Hong Kong Polytechnic University","6","6","Hong Kong Polytechnic University:6"
"wageningen university and research","Wageningen University & Research","6","6","Wageningen University & Research:6"
"lund university","Lund University","6","6","Lund University:6"
"city university of hong kong","City University of Hong Kong","6","6","City University of Hong Kong:6"
"louisiana state university","Louisiana State University","6","6","Louisiana State University:6"
"university of liverpool","University of Liverpool","6","6","University of Liverpool:6"
"university of zurich","University of Zurich","6","6","University of Zurich:6"
"uppsala university","Uppsala University","6","6","Uppsala University:6"
"mcmaster university","McMaster University","6","6","McMaster University:6"
"university of leicester","University of Leicester","6","6","University of Leicester:6"
"university of maryland college park","University of Maryland, College Park","6","6","University of Maryland, College Park:6"
"university of wollongong","University of Wollongong","6","6","University of Wollongong:6"
"nanyang technological university","Nanyang Technological University","6","6","Nanyang Technological University:6"
"sapienza university of rome","Sapienza University of Rome","6","6","Sapienza University of Rome:6"
"politecnico di milano","Politecnico di Milano","5","5","Politecnico di Milano:5"
"university of ottawa","University of Ottawa","5","5","University of Ottawa:5"
"simon fraser university","Simon Fraser University","5","5","Simon Fraser University:5"
"ghent university","Ghent University","5","5","Ghent University:5"
"osaka university","Osaka University","5","5","Osaka University:5"
"university of newcastle","University of Newcastle","5","5","University of Newcastle:5"
"university of barcelona","University of Barcelona","5","5","University of Barcelona:5"
"shanghai jiao tong university","Shanghai Jiao Tong University","5","5","Shanghai Jiao Tong University:5"
"chalmers university of technology","Chalmers University of Technology","5","5","Chalmers University of Technology:5"
"rutgers university","Rutgers University","5","5","Rutgers University:5"
"ie university","IE University","5","5","IE University:5"
"rmit university","RMIT University","5","5","RMIT University:5"
"university of helsinki","University of Helsinki","5","5","University of Helsinki:5"
"university of york","University of York","5","5","University of York:5"
"dalhousie university","Dalhousie University","5","5","Dalhousie University:5"
"technische universitat dresden","Technische Universitat Dresden","5","5","Technische Universitat Dresden:5"
"marquette university","Marquette University","5","5","Marquette University:5"
"eindhoven university of technology","Eindhoven University of Technology","5","5","Eindhoven University of Technology:5"
"university of illinois chicago","University of Illinois Chicago","5","5","University of Illinois Chicago:5"
"sorbonne university","Sorbonne University","5","5","Sorbonne University:5"
"zhejiang university","Zhejiang University","5","5","Zhejiang University:5"
"university of bern","University of Bern","5","5","University of Bern:5"
"university of bath","University of Bath","5","5","University of Bath:5"
"university of oslo","University of Oslo","5","5","University of Oslo:5"
"university of dundee","University of Dundee","5","5","University of Dundee:5"
"durham university","Durham University","5","5","Durham University:5"
"psl university","PSL University","5","5","PSL University:5"
"university of saskatchewan","University of Saskatchewan","5","5","University of Saskatchewan:5"
"american university","American University","5","5","American University:5"
"university of manitoba","University of Manitoba","5","5","University of Manitoba:5"
"city university of new york","City University of New York","5","5","City University of New York:5"
"james cook university","James Cook University","5","5","James Cook University:5"
"yeshiva university","Yeshiva University","5","5","Yeshiva University:5"
"griffith university","Griffith University","5","5","Griffith University:5"
"carleton university","Carleton University","5","5","Carleton University:5"
"kth royal institute of technology","KTH Royal Institute of Technology","5","5","KTH Royal Institute of Technology:5"
"university of alabama at birmingham","University of Alabama at Birmingham","5","5","University of Alabama at Birmingham:5"
"university of maryland baltimore","University of Maryland, Baltimore","5","5","University of Maryland, Baltimore:5"
"insead","INSEAD","5","5","INSEAD:5"
"leiden university","Leiden University","5","5","Leiden University:5"
"xian jiaotong university","Xian Jiaotong University","5","5","Xian Jiaotong University:5"
"university of massachusetts boston","University of Massachusetts Boston","5","5","University of Massachusetts Boston:5"
"tohoku university","Tohoku University","5","5","Tohoku University:5"
"university of guelph","University of Guelph","5","5","University of Guelph:5"
"southern methodist university","Southern Methodist University","5","5","Southern Methodist University:5"
"university of windsor","University of Windsor","5","5","University of Windsor:5"
"university of strathclyde","University of Strathclyde","5","5","University of Strathclyde:5"
"university of st andrews","University of St Andrews","5","5","University of St Andrews:5"
"university college dublin","University College Dublin","5","5","University College Dublin:5"
"tulane university","Tulane University","5","5","Tulane University:5"
"university of surrey","University of Surrey","5","5","University of Surrey:5"
"university of cape town","University of Cape Town","5","5","University of Cape Town:5"
"queens university belfast","Queens University Belfast","5","5","Queens University Belfast:5"
"deakin university","Deakin University","5","5","Deakin University:5"
"western university","Western University","5","5","Western University:5"
