"UniversityNorm","CanonicalUniversity","VariantsCount","TotalRows","Variants"
"inha university","Inha University","3","3","Inha University:3"
"riga technical university","Riga Technical University","3","3","Riga Technical University:3"
"ritsumeikan university","Ritsumeikan University","3","3","Ritsumeikan University:3"
"quaid i azam university","Quaid-i-azam University","3","3","Quaid-i-azam University:3"
"portland state university","Portland State University","3","3","Portland State University:3"
"prince mohammad bin fahd university","Prince Mohammad Bin Fahd University","3","3","Prince Mohammad Bin Fahd University:3"
"prince of songkla university","Prince of Songkla University","3","3","Prince of Songkla University:3"
"pontificia universidad catolica de valparaiso","Pontificia Universidad Catolica de Valparaiso","3","3","Pontificia Universidad Catolica de Valparaiso:3"
"pontificia universidad catolica del peru pucp","Pontificia Universidad Catolica del Peru (PUCP)","3","3","Pontificia Universidad Catolica del Peru (PUCP):3"
"pontificia universidad javeriana","Pontificia Universidad Javeriana","3","3","Pontificia Universidad Javeriana:3"
"pusan national university","Pusan National University","3","3","Pusan National University:3"
"qassim university","Qassim University","3","3","Qassim University:3"
"qatar university","Qatar University","3","3","Qatar University:3"
"prince sultan university","Prince Sultan University","3","3","Prince Sultan University:3"
"princess sumaya university for technology","Princess Sumaya University for Technology","3","3","Princess Sumaya University for Technology:3"
"institut teknologi sepuluh nopember its","Institut Teknologi Sepuluh Nopember (ITS)","3","3","Institut Teknologi Sepuluh Nopember (ITS):3"
"university of salford","University of Salford","3","3","University of Salford:3"
"university of san diego","University of San Diego","3","3","University of San Diego:3"
"university of san francisco","University of San Francisco","3","3","University of San Francisco:3"
"brno university of technology","Brno University of Technology","3","3","Brno University of Technology:3"
"university of salamanca","University of Salamanca","3","3","University of Salamanca:3"
"university of salerno","University of Salerno","3","3","University of Salerno:3"
"bond university","Bond University","3","3","Bond University:3"
"university of sharjah","University of Sharjah","3","3","University of Sharjah:3"
"boise state university","Boise State University","3","3","Boise State University:3"
"university of santo tomas","University of Santo Tomas","3","3","University of Santo Tomas:3"
"bournemouth university","Bournemouth University","3","3","Bournemouth University:3"
"university of seoul","University of Seoul","3","3","University of Seoul:3"
"university of pisa","University of Pisa","3","3","University of Pisa:3"
"cairo university","Cairo University","3","3","Cairo University:3"
"ca foscari university of venice","Ca Foscari University of Venice","3","3","Ca Foscari University of Venice:3"
"university of pavia","University of Pavia","3","3","University of Pavia:3"
"university of pecs","University of Pecs","3","3","University of Pecs:3"
"university of peshawar","University of Peshawar","3","3","University of Peshawar:3"
"university of rennes 1","University of Rennes 1","3","3","University of Rennes 1:3"
"brunel university of london","Brunel University of London","3","3","Brunel University of London:3"
"brock university","Brock University","3","3","Brock University:3"
"university of porto","University of Porto","3","3","University of Porto:3"
"budapest university of technology and economics","Budapest University of Technology and Economics","3","3","Budapest University of Technology and Economics:3"
"university of pretoria","University of Pretoria","3","3","University of Pretoria:3"
"university of tehran","University of Tehran","3","3","University of Tehran:3"
"university of tennessee","University of Tennessee","3","3","University of Tennessee:3"
"belarusian state university","Belarusian State University","3","3","Belarusian State University:3"
"university of szeged","University of Szeged","3","3","University of Szeged:3"
"university of tabriz","University of Tabriz","3","3","University of Tabriz:3"
"university of tartu","University of Tartu","3","3","University of Tartu:3"
"university of texas at arlington","University of Texas at Arlington","3","3","University of Texas at Arlington:3"
"beijing university of chemical technology","Beijing University of Chemical Technology","3","3","Beijing University of Chemical Technology:3"
"beijing normal university","Beijing Normal University","3","3","Beijing Normal University:3"
"belarusian national technical university","Belarusian National Technical University","3","3","Belarusian National Technical University:3"
"beirut arab university","Beirut Arab University","3","3","Beirut Arab University:3"
"beijing university of technology","Beijing University of Technology","3","3","Beijing University of Technology:3"
"university of south dakota","University of South Dakota","3","3","University of South Dakota:3"
"birkbeck college university of london","Birkbeck College, University of London","3","3","Birkbeck College, University of London:3"
"university of southern denmark","University of Southern Denmark","3","3","University of Southern Denmark:3"
"bogazici university","Bogazici University","3","3","Bogazici University:3"
"university of siena","University of Siena","3","3","University of Siena:3"
"university of south africa","University of South Africa","3","3","University of South Africa:3"
"university of stirling","University of Stirling","3","3","University of Stirling:3"
"university of strasbourg","University of Strasbourg","3","3","University of Strasbourg:3"
"bilkent university","Bilkent University","3","3","Bilkent University:3"
"university of southern queensland","University of Southern Queensland","3","3","University of Southern Queensland:3"
"binus university bina nusantara university","BINUS UNIVERSITY (Bina Nusantara University)","3","3","BINUS UNIVERSITY (Bina Nusantara University):3"
"university of stavanger","University of Stavanger","3","3","University of Stavanger:3"
"university of patras","University of Patras","3","3","University of Patras:3"
"chiba university","Chiba University","3","3","Chiba University:3"
"chiang mai university","Chiang Mai University","3","3","Chiang Mai University:3"
"university of macau","University of Macau","3","3","University of Macau:3"
"university of louisville","University of Louisville","3","3","University of Louisville:3"
"university of luxembourg","University of Luxembourg","3","3","University of Luxembourg:3"
"china agricultural university","China Agricultural University","3","3","China Agricultural University:3"
"charles darwin university","Charles Darwin University","3","3","Charles Darwin University:3"
"university of maribor","University of Maribor","3","3","University of Maribor:3"
"chapman university","Chapman University","3","3","Chapman University:3"
"university of maine","University of Maine","3","3","University of Maine:3"
"university of malta","University of Malta","3","3","University of Malta:3"
"charles university","Charles University","3","3","Charles University:3"
"university of liege","University of Liege","3","3","University of Liege:3"
"university of lille","University of Lille","3","3","University of Lille:3"
"university of limerick","University of Limerick","3","3","University of Limerick:3"
"chongqing university","Chongqing University","3","3","Chongqing University:3"
"university of lausanne","University of Lausanne","3","3","University of Lausanne:3"
"university of lethbridge","University of Lethbridge","3","3","University of Lethbridge:3"
"university of ljubljana","University of Ljubljana","3","3","University of Ljubljana:3"
"university of lorraine","University of Lorraine","3","3","University of Lorraine:3"
"china medical university","China Medical University","3","3","China Medical University:3"
"university of lincoln","University of Lincoln","3","3","University of Lincoln:3"
"china university of petroleum","China University of Petroleum","3","3","China University of Petroleum:3"
"china university of geosciences","China University of Geosciences","3","3","China University of Geosciences:3"
"university of nevada reno","University of Nevada Reno","3","3","University of Nevada Reno:1 || University of Nevada-Reno:1 || University of Nevada, Reno:1"
"university of new hampshire","University of New Hampshire","3","3","University of New Hampshire:3"
"university of nizwa","University of Nizwa","3","3","University of Nizwa:3"
"university of munster","University of Munster","3","3","University of Munster:3"
"university of namur","University of Namur","3","3","University of Namur:3"
"catania university","Catania University","3","3","Catania University:3"
"university of oulu","University of Oulu","3","3","University of Oulu:3"
"university of padova","University of Padova","3","3","University of Padova:3"
"university of palermo","University of Palermo","3","3","University of Palermo:3"
"canadian university of dubai","Canadian University of Dubai","3","3","Canadian University of Dubai:3"
"university of north dakota","University of North Dakota","3","3","University of North Dakota:3"
"university of otago","University of Otago","3","3","University of Otago:3"
"university of messina","University of Messina","3","3","University of Messina:3"
"university of minho","University of Minho","3","3","University of Minho:3"
"university of missouri kansas city","University of Missouri Kansas City","3","3","University of Missouri Kansas City:1 || University of Missouri-Kansas City:1 || University of Missouri, Kansas City:1"
"university of massachusetts lowell","University of Massachusetts Lowell","3","3","University of Massachusetts Lowell:3"
"university of maynooth","University of Maynooth","3","3","University of Maynooth:3"
"chang gung university","Chang Gung University","3","3","Chang Gung University:3"
"central michigan university","Central Michigan University","3","3","Central Michigan University:3"
"university of mons","University of Mons","3","3","University of Mons:3"
"university of montpellier","University of Montpellier","3","3","University of Montpellier:3"
"central south university","Central South University","3","3","Central South University:3"
"university of modena and reggio emilia","University of Modena and Reggio Emilia","3","3","University of Modena and Reggio Emilia:3"
"central queensland university australia cquniversity","Central Queensland University Australia (CQUniversity)","3","3","Central Queensland University Australia (CQUniversity):3"
"beijing jiaotong university","Beijing Jiaotong University","3","3","Beijing Jiaotong University:3"
"vytautas magnus university","Vytautas Magnus University","3","3","Vytautas Magnus University:3"
"warsaw university of technology","Warsaw University of Technology","3","3","Warsaw University of Technology:3"
"waseda university","Waseda University","3","3","Waseda University:3"
"american university in dubai","American University in Dubai","3","3","American University in Dubai:3"
"vrije universiteit brussel vub","Vrije Universiteit Brussel (VUB)","3","3","Vrije Universiteit Brussel (VUB):3"
"altai state university","Altai State University","3","3","Altai State University:3"
"al farabi kazakh national university","Al-Farabi Kazakh National University","3","3","Al-Farabi Kazakh National University:3"
"al nahrain university","Al Nahrain University","3","3","Al Nahrain University:3"
"al jouf university","Al Jouf University","3","3","Al Jouf University:3"
"alfaisal university","Alfaisal University","3","3","Alfaisal University:3"
"alexandria university","Alexandria University","3","3","Alexandria University:3"
"al quds university","Al-Quds University","3","3","Al-Quds University:3"
"victoria university of wellington","Victoria University of Wellington","3","3","Victoria University of Wellington:3"
"vietnam national university ho chi minh city vnu hcm","Vietnam National University - Ho Chi Minh City (VNU-HCM)","3","3","Vietnam National University - Ho Chi Minh City (VNU-HCM):3"
"amirkabir university of technology","Amirkabir University of Technology","3","3","Amirkabir University of Technology:3"
"v n karazin kharkiv national university","V.N. Karazin Kharkiv National University","3","3","V.N. Karazin Kharkiv National University:3"
"verona university","Verona University","3","3","Verona University:3"
"victoria university","Victoria University","3","3","Victoria University:3"
"vilnius university","Vilnius University","3","3","Vilnius University:3"
"american university of ras al khaimah aurak","American University of Ras Al Khaimah ( AURAK )","3","3","American University of Ras Al Khaimah ( AURAK ):3"
"american university of central asia","American University of Central Asia","3","3","American University of Central Asia:3"
"vilnius gediminas technical university","Vilnius Gediminas Technical University","3","3","Vilnius Gediminas Technical University:3"
"american university of the middle east","American University of the Middle East","3","3","American University of the Middle East:3"
"american university of sharjah aus","American University of Sharjah (AUS)","3","3","American University of Sharjah (AUS):3"
"addis ababa university","Addis Ababa University","3","3","Addis Ababa University:3"
"zayed university","Zayed University","3","3","Zayed University:3"
"abylkas saginov karaganda technical university","Abylkas Saginov Karaganda Technical University","3","3","Abylkas Saginov Karaganda Technical University:3"
"yeungnam university","Yeungnam University","3","3","Yeungnam University:3"
"yildiz technical university","Yildiz Technical University","3","3","Yildiz Technical University:3"
"yonsei university","Yonsei University","3","3","Yonsei University:3"
"zhengzhou university","Zhengzhou University","3","3","Zhengzhou University:3"
"zurich university of applied sciences zhaw","Zurich University of Applied Sciences (ZHAW)","3","3","Zurich University of Applied Sciences (ZHAW):3"
"universiti teknologi brunei","Universiti Teknologi Brunei","3","3","Universiti Teknologi Brunei:3"
"abu dhabi university","Abu Dhabi University","3","3","Abu Dhabi University:3"
"abo akademi university","Abo Akademi University","3","3","Abo Akademi University:3"
"aberystwyth university","Aberystwyth University","3","3","Aberystwyth University:3"
"ajman university","Ajman University","3","3","Ajman University:3"
"aix marseille university","Aix-Marseille University","3","3","Aix-Marseille University:3"
"ain shams university","Ain Shams University","3","3","Ain Shams University:3"
"al ain university","Al Ain University","3","3","Al Ain University:3"
"wichita state university","Wichita State University","3","3","Wichita State University:3"
"ajou university","Ajou University","3","3","Ajou University:3"
"wuhan university of technology","Wuhan University of Technology","3","3","Wuhan University of Technology:3"
"xiamen university","Xiamen University","3","3","Xiamen University:3"
"yarmouk university","Yarmouk University","3","3","Yarmouk University:3"
"wroclaw university of science and technology wust","Wroclaw University of Science and Technology (WUST)","3","3","Wroclaw University of Science and Technology (WUST):3"
"ahlia university","Ahlia University","3","3","Ahlia University:3"
"wuhan university","Wuhan University","3","3","Wuhan University:3"
"uwe bristol university of the west of england","UWE Bristol (University of the West of England)","3","3","UWE Bristol (University of the West of England):3"
"university of tunis el manar","University of Tunis El Manar","3","3","University of Tunis El Manar:3"
"baku state university","Baku State University","3","3","Baku State University:3"
"baku engineering university","Baku Engineering University","3","3","Baku Engineering University:3"
"bangladesh university of engineering and technology","Bangladesh University of Engineering and Technology","3","3","Bangladesh University of Engineering and Technology:3"
"university of tsukuba","University of Tsukuba","3","3","University of Tsukuba:3"
"bandung institute of technology itb","Bandung Institute of Technology (ITB)","3","3","Bandung Institute of Technology (ITB):3"
"babson college","Babson College","3","3","Babson College:3"
"university of ulsan","University of Ulsan","3","3","University of Ulsan:3"
"babes bolyai university","Babes-Bolyai University","3","3","Babes-Bolyai University:3"
"university of turin","University of Turin","3","3","University of Turin:3"
"university of turku","University of Turku","3","3","University of Turku:3"
"university of tuscia","University of Tuscia","3","3","University of Tuscia:3"
"bauman moscow state technical university","Bauman Moscow State Technical University","3","3","Bauman Moscow State Technical University:3"
"university of the philippines","University of the Philippines","3","3","University of the Philippines:3"
"university of the punjab","University of the Punjab","3","3","University of the Punjab:3"
"university of texas md anderson cancer center","University of Texas MD Anderson Cancer Center","3","3","University of Texas MD Anderson Cancer Center:3"
"beihang university","Beihang University","3","3","Beihang University:3"
"baylor college of medicine","Baylor College of Medicine","3","3","Baylor College of Medicine:3"
"university of trieste","University of Trieste","3","3","University of Trieste:3"
"university of tromso the arctic university of norway","University of Tromso, The Arctic University of Norway","3","3","University of Tromso, The Arctic University of Norway:3"
"bangor university","Bangor University","3","3","Bangor University:3"
"university of the western cape","University of the Western Cape","3","3","University of the Western Cape:3"
"university of toledo","University of Toledo","3","3","University of Toledo:3"
"university of trento","University of Trento","3","3","University of Trento:3"
"aristotle university of thessaloniki","Aristotle University of Thessaloniki","3","3","Aristotle University of Thessaloniki:3"
"university of wyoming","University of Wyoming","3","3","University of Wyoming:3"
"university of zagreb","University of Zagreb","3","3","University of Zagreb:3"
"asia pacific university of technology and innovation apu malaysia","Asia Pacific University of Technology and Innovation (APU) Malaysia","3","3","Asia Pacific University of Technology and Innovation (APU) Malaysia:3"
"university of westminster","University of Westminster","3","3","University of Westminster:3"
"university of wroclaw","University of Wroclaw","3","3","University of Wroclaw:3"
"university paul sabatier toulouse 3","University Paul Sabatier Toulouse 3","3","3","University Paul Sabatier Toulouse 3:3"
"ankara universitesi","Ankara Universitesi","3","3","Ankara Universitesi:3"
"ural federal university","Ural Federal University","3","3","Ural Federal University:3"
"university paris 1 pantheon sorbonne","University Paris 1 Pantheon-Sorbonne","3","3","University Paris 1 Pantheon-Sorbonne:3"
"applied science university bahrain","Applied Science University - Bahrain","3","3","Applied Science University - Bahrain:3"
"university paris cite","University Paris Cite","3","3","University Paris Cite:3"
"azerbaijan state oil and industry university","Azerbaijan State Oil and Industry University","3","3","Azerbaijan State Oil and Industry University:3"
"auezov south kazakhstan state university sksu","Auezov South Kazakhstan State University (SKSU)","3","3","Auezov South Kazakhstan State University (SKSU):3"
"auckland university of technology","Auckland University of Technology","3","3","Auckland University of Technology:3"
"university of ulster","University of Ulster","3","3","University of Ulster:3"
"azerbaijan technical university","Azerbaijan Technical University","3","3","Azerbaijan Technical University:3"
"azerbaijan state university of economics","Azerbaijan State University of Economics","3","3","Azerbaijan State University of Economics:3"
"university of warsaw","University of Warsaw","3","3","University of Warsaw:3"
"aston university","Aston University","3","3","Aston University:3"
"asia university taiwan","Asia University Taiwan","3","3","Asia University Taiwan:3"
"university of vienna","University of Vienna","3","3","University of Vienna:3"
"university of waikato","University of Waikato","3","3","University of Waikato:3"
"ateneo de manila university","Ateneo de Manila University","3","3","Ateneo de Manila University:3"
"eastern mediterranean university","Eastern Mediterranean University","3","3","Eastern Mediterranean University:3"
"university of belgrade","University of Belgrade","3","3","University of Belgrade:3"
"university of bergen","University of Bergen","3","3","University of Bergen:3"
"university of bahrain","University of Bahrain","3","3","University of Bahrain:3"
"eberhard karls universitat tubingen","Eberhard Karls Universitat Tubingen","3","3","Eberhard Karls Universitat Tubingen:3"
"university of bari","University of Bari","3","3","University of Bari:3"
"east china normal university","East China Normal University","3","3","East China Normal University:3"
"duquesne university","Duquesne University","3","3","Duquesne University:3"
"university of bradford","University of Bradford","3","3","University of Bradford:3"
"university of brawijaya","University of Brawijaya","3","3","University of Brawijaya:3"
"university of bologna","University of Bologna","3","3","University of Bologna:3"
"duy tan university","Duy Tan University","3","3","Duy Tan University:3"
"university of bordeaux","University of Bordeaux","3","3","University of Bordeaux:3"
"university of baghdad","University of Baghdad","3","3","University of Baghdad:3"
"university du quebec","University du Quebec","3","3","University du Quebec:3"
"effat university","Effat University","3","3","Effat University:3"
"university grenoble alpes","University Grenoble Alpes","3","3","University Grenoble Alpes:3"
"university college cork","University College Cork","3","3","University College Cork:3"
"university complutense madrid","University Complutense Madrid","3","3","University Complutense Madrid:3"
"university cote dazur","University Cote dAzur","3","3","University Cote dAzur:3"
"edinburgh napier university","Edinburgh Napier University","3","3","Edinburgh Napier University:3"
"university of antwerp","University of Antwerp","3","3","University of Antwerp:3"
"university of arkansas","University of Arkansas","3","3","University of Arkansas:3"
"university of aveiro","University of Aveiro","3","3","University of Aveiro:3"
"university libre de bruxelles ulb","University Libre de Bruxelles (ULB)","3","3","University Libre de Bruxelles (ULB):3"
"university of alaska fairbanks","University of Alaska Fairbanks","3","3","University of Alaska Fairbanks:3"
"ecole normale superieure de lyon","Ecole Normale Superieure de Lyon","3","3","Ecole Normale Superieure de Lyon:3"
"university of brescia","University of Brescia","3","3","University of Brescia:3"
"university of dayton","University of Dayton","3","3","University of Dayton:3"
"university of debrecen","University of Debrecen","3","3","University of Debrecen:3"
"university of denver","University of Denver","3","3","University of Denver:3"
"university of cyberjaya","University of Cyberjaya","3","3","University of Cyberjaya:3"
"university of cyprus","University of Cyprus","3","3","University of Cyprus:3"
"dalian university of technology","Dalian University of Technology","3","3","Dalian University of Technology:3"
"university of detroit mercy","University of Detroit Mercy","3","3","University of Detroit Mercy:3"
"university of dubai","University of Dubai","3","3","University of Dubai:3"
"cy cergy paris university","CY Cergy Paris University","3","3","CY Cergy Paris University:3"
"university of eastern finland","University of Eastern Finland","3","3","University of Eastern Finland:3"
"university of dhaka","University of Dhaka","3","3","University of Dhaka:3"
"czech university of life sciences in prague","Czech University of Life Sciences in Prague","3","3","Czech University of Life Sciences in Prague:3"
"cyprus university of technology","Cyprus University of Technology","3","3","Cyprus University of Technology:3"
"university of crete","University of Crete","3","3","University of Crete:3"
"donghua university","Donghua University","3","3","Donghua University:3"
"dongguk university","Dongguk University","3","3","Dongguk University:3"
"university of california san francisco","University of California, San Francisco","3","3","University of California, San Francisco:3"
"university of brighton","University of Brighton","3","3","University of Brighton:3"
"dublin city university","Dublin City University","3","3","Dublin City University:3"
"university of bucharest","University of Bucharest","3","3","University of Bucharest:3"
"diponegoro university","Diponegoro University","3","3","Diponegoro University:3"
"university of coimbra","University of Coimbra","3","3","University of Coimbra:3"
"de montfort university","De Montfort University","3","3","De Montfort University:3"
"de la salle university","De La Salle University","3","3","De La Salle University:3"
"university of canterbury","University of Canterbury","3","3","University of Canterbury:3"
"dhofar university","Dhofar University","3","3","Dhofar University:3"
"university of chinese academy of sciences ucas","University of Chinese Academy of Sciences (UCAS)","3","3","University of Chinese Academy of Sciences (UCAS):3"
"universitat dusseldorf","Universitat Dusseldorf","3","3","Universitat Dusseldorf:3"
"universitat erlangen nurnberg","Universitat Erlangen-Nurnberg","3","3","Universitat Erlangen-Nurnberg:3"
"ferdowsi university of mashhad","Ferdowsi University of Mashhad","3","3","Ferdowsi University of Mashhad:3"
"universitat de valencia","Universitat de Valencia","3","3","Universitat de Valencia:3"
"flinders university","Flinders University","3","3","Flinders University:3"
"universitat des saarlandes","Universitat des Saarlandes","3","3","Universitat des Saarlandes:3"
"universitat freiburg","Universitat Freiburg","3","3","Universitat Freiburg:3"
"universitat jena","Universitat Jena","3","3","Universitat Jena:3"
"universitat konstanz","Universitat Konstanz","3","3","Universitat Konstanz:3"
"universitat leipzig","Universitat Leipzig","3","3","Universitat Leipzig:3"
"universitat hamburg","Universitat Hamburg","3","3","Universitat Hamburg:3"
"universitat hohenheim","Universitat Hohenheim","3","3","Universitat Hohenheim:3"
"universitat innsbruck","Universitat Innsbruck","3","3","Universitat Innsbruck:3"
"universitat bremen","Universitat Bremen","3","3","Universitat Bremen:3"
"universita degli studi roma tre","Universita degli Studi Roma Tre","3","3","Universita degli Studi Roma Tre:3"
"universita della calabria","Universita della Calabria","3","3","Universita della Calabria:3"
"universita della svizzera italiana","Universita della Svizzera Italiana","3","3","Universita della Svizzera Italiana:3"
"universidade federal do rio grande do sul","Universidade Federal do Rio Grande Do Sul","3","3","Universidade Federal do Rio Grande Do Sul:3"
"universidade nova de lisboa","Universidade Nova de Lisboa","3","3","Universidade Nova de Lisboa:3"
"universita cattolica del sacro cuore","Universita Cattolica del Sacro Cuore","3","3","Universita Cattolica del Sacro Cuore:3"
"universitas airlangga","Universitas Airlangga","3","3","Universitas Airlangga:3"
"universitat autonoma de barcelona","Universitat Autonoma de Barcelona","3","3","Universitat Autonoma de Barcelona:3"
"florida institute of technology","Florida Institute of Technology","3","3","Florida Institute of Technology:3"
"universitat bayreuth","Universitat Bayreuth","3","3","Universitat Bayreuth:3"
"free university of bolzano","Free University of Bolzano","3","3","Free University of Bolzano:3"
"universitas gadjah mada","Universitas Gadjah Mada","3","3","Universitas Gadjah Mada:3"
"universitas padjadjaran unpad","Universitas Padjadjaran (UNPAD)","3","3","Universitas Padjadjaran (UNPAD):3"
"far eastern federal university","Far Eastern Federal University","3","3","Far Eastern Federal University:3"
"universiti putra malaysia upm","Universiti Putra Malaysia (UPM)","3","3","Universiti Putra Malaysia (UPM):3"
"l n gumilyov eurasian national university","L.N. Gumilyov Eurasian National University","3","3","L.N. Gumilyov Eurasian National University:3"
"universiti teknologi mara uitm","Universiti Teknologi MARA - UiTM","3","3","Universiti Teknologi MARA - UiTM:3"
"escuela superior politecnica del litoral espol","Escuela Superior Politecnica del Litoral - ESPOL","3","3","Escuela Superior Politecnica del Litoral - ESPOL:3"
"universiti malaysia terengganu umt","Universiti Malaysia Terengganu (UMT)","3","3","Universiti Malaysia Terengganu (UMT):3"
"universiti pendidikan sultan idris upsi","Universiti Pendidikan Sultan Idris (UPSI)","3","3","Universiti Pendidikan Sultan Idris (UPSI):3"
"universiti teknologi petronas utp","Universiti Teknologi Petronas (UTP)","3","3","Universiti Teknologi Petronas (UTP):3"
"universiti utara malaysia uum","Universiti Utara Malaysia (UUM)","3","3","Universiti Utara Malaysia (UUM):3"
"university catholique de louvain ucl","University Catholique de Louvain (UCL)","3","3","University Catholique de Louvain (UCL):3"
"university claude bernard lyon 1","University Claude Bernard Lyon 1","3","3","University Claude Bernard Lyon 1:3"
"universiti tenaga nasional uniten","Universiti Tenaga Nasional (UNITEN)","3","3","Universiti Tenaga Nasional (UNITEN):3"
"eotvos lorand university","Eotvos Lorand University","3","3","Eotvos Lorand University:3"
"universiti tunku abdul rahman utar","Universiti Tunku Abdul Rahman (UTAR)","3","3","Universiti Tunku Abdul Rahman (UTAR):3"
"universiti malaysia pahang al sultan abdullah umpsa","Universiti Malaysia Pahang Al-Sultan Abdullah (UMPSA)","3","3","Universiti Malaysia Pahang Al-Sultan Abdullah (UMPSA):3"
"universitat ramon llull","Universitat Ramon Llull","3","3","Universitat Ramon Llull:3"
"ewha womans university","Ewha Womans University","3","3","Ewha Womans University:3"
"european university of lefke eul","European University of Lefke (EUL)","3","3","European University of Lefke (EUL):3"
"universitat mannheim","Universitat Mannheim","3","3","Universitat Mannheim:3"
"universitat pompeu fabra","Universitat Pompeu Fabra","3","3","Universitat Pompeu Fabra:3"
"universitat potsdam","Universitat Potsdam","3","3","Universitat Potsdam:3"
"universitat regensburg","Universitat Regensburg","3","3","Universitat Regensburg:3"
"universiti brunei darussalam ubd","Universiti Brunei Darussalam (UBD)","3","3","Universiti Brunei Darussalam (UBD):3"
"universiti kebangsaan malaysia ukm","Universiti Kebangsaan Malaysia (UKM)","3","3","Universiti Kebangsaan Malaysia (UKM):3"
"universiti malaya","Universiti Malaya","3","3","Universiti Malaya:3"
"universitat rostock","Universitat Rostock","3","3","Universitat Rostock:3"
"universitat ulm","Universitat Ulm","3","3","Universitat Ulm:3"
"universitat zu koln","Universitat zu Koln","3","3","Universitat zu Koln:3"
"university of genoa","University of Genoa","3","3","University of Genoa:3"
"university of gdansk","University of Gdansk","3","3","University of Gdansk:3"
"university of iceland","University of Iceland","3","3","University of Iceland:3"
"university of hull","University of Hull","3","3","University of Hull:3"
"university of galway ollscoil na gaillimhe","University of Galway / Ollscoil na Gaillimhe","3","3","University of Galway / Ollscoil na Gaillimhe:3"
"comenius university bratislava","Comenius University Bratislava","3","3","Comenius University Bratislava:3"
"university of huddersfield","University of Huddersfield","3","3","University of Huddersfield:3"
"university of fribourg","University of Fribourg","3","3","University of Fribourg:3"
"chulalongkorn university","Chulalongkorn University","3","3","Chulalongkorn University:3"
"university of ghana","University of Ghana","3","3","University of Ghana:3"
"comsats university islamabad","COMSATS University Islamabad","3","3","COMSATS University Islamabad:3"
"clark university","Clark University","3","3","Clark University:3"
"university of idaho","University of Idaho","3","3","University of Idaho:3"
"university of johannesburg","University of Johannesburg","3","3","University of Johannesburg:3"
"university of jordan","University of Jordan","3","3","University of Jordan:3"
"university of jyvaskyla","University of Jyvaskyla","3","3","University of Jyvaskyla:3"
"chungnam national university","Chungnam National University","3","3","Chungnam National University:3"
"concordia university","Concordia University","3","3","Concordia University:3"
"university of granada","University of Granada","3","3","University of Granada:3"
"university of engineering and technology uet lahore","University of Engineering & Technology (UET) Lahore","3","3","University of Engineering & Technology (UET) Lahore:3"
"chonnam national university","Chonnam National University","3","3","Chonnam National University:3"
"university of hertfordshire","University of Hertfordshire","3","3","University of Hertfordshire:3"
"university of hail","University of Hail","3","3","University of Hail:3"
"university of latvia","University of Latvia","3","3","University of Latvia:3"
"university of greenwich","University of Greenwich","3","3","University of Greenwich:3"
"university of lahore","University of Lahore","3","3","University of Lahore:3"
"university of haifa","University of Haifa","3","3","University of Haifa:3"
"university of ferrara","University of Ferrara","3","3","University of Ferrara:3"
"colegio de mexico","Colegio de Mexico","3","3","Colegio de Mexico:3"
"university of klagenfurt","University of Klagenfurt","3","3","University of Klagenfurt:3"
"university of franche comte","University of Franche-Comte","3","3","University of Franche-Comte:3"
"coventry university","Coventry University","3","3","Coventry University:3"
"university of florence","University of Florence","3","3","University of Florence:3"
"university of california los angeles","University of California, Los Angeles","2","9","University of California, Los Angeles:8 || University of California Los Angeles:1"
"washington university in st louis","Washington University in St. Louis","2","8","Washington University in St. Louis:7 || Washington University in St Louis:1"
"humboldt universitat zu berlin","Humboldt-Universitat zu Berlin","2","8","Humboldt-Universitat zu Berlin:7 || Humboldt Universitat zu Berlin:1"
"university of colorado denver","University of Colorado, Denver","2","7","University of Colorado, Denver:4 || University of Colorado Denver:3"
"missouri university of science and technology","Missouri University of Science and Technology","2","7","Missouri University of Science and Technology:5 || Missouri University of Science & Technology:2"
"university of maryland baltimore county","University of Maryland, Baltimore County","2","7","University of Maryland, Baltimore County:5 || University of Maryland Baltimore County:2"
"indiana university bloomington","Indiana University Bloomington","2","6","Indiana University Bloomington:5 || Indiana University - Bloomington:1"
"university of missouri columbia","University of Missouri, Columbia","2","6","University of Missouri, Columbia:4 || University of Missouri Columbia:2"
"hong kong university of science and technology","Hong Kong University of Science and Technology","2","6","Hong Kong University of Science and Technology:5 || Hong Kong University of Science & Technology:1"
"norwegian university of science and technology","Norwegian University of Science And Technology","2","5","Norwegian University of Science And Technology:4 || Norwegian University of Science & Technology:1"
"university of tennessee knoxville","University of Tennessee, Knoxville","2","5","University of Tennessee, Knoxville:4 || University of Tennessee Knoxville:1"
"university paris saclay","University Paris-Saclay","2","5","University Paris-Saclay:4 || University Paris Saclay:1"
"university of science and technology of china","University of Science and Technology of China","2","5","University of Science and Technology of China:4 || University of Science & Technology of China:1"
"technion israel institute of technology","Technion - Israel Institute of Technology","2","5","Technion - Israel Institute of Technology:4 || Technion Israel Institute of Technology:1"
"rutgers university new brunswick","Rutgers University – New Brunswick","2","4","Rutgers University – New Brunswick:3 || Rutgers University - New Brunswick:1"
"nanjing university of aeronautics and astronautics","Nanjing University of Aeronautics and Astronautics","2","4","Nanjing University of Aeronautics and Astronautics:3 || Nanjing University of Aeronautics & Astronautics:1"
