"UniversityNorm","UniversityDisplay","FinalCountryNorm","DistinctCountries","CountryBreakdown","UniqueLenders","TotalRows","Status","RawCountryValues","RawNameValues"
"a t still university","A. T. Still University","united states of america","1","united states of america:2","2","2","PASS","United States of America","A. T. Still University"
"aalborg university","Aalborg University","denmark","1","denmark:4","4","4","PASS","Denmark","Aalborg University"
"aalto university","Aalto University","finland","1","finland:4","4","4","PASS","Finland","Aalto University"
"aarhus university","Aarhus University","denmark","1","denmark:4","4","4","PASS","Denmark","Aarhus University"
"abant izzet baysal university","Abant Izzet Baysal University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Abant Izzet Baysal University"
"abdullah gul university kayseri","Abdullah Gul University Kayseri","united states of america","1","united states of america:1","1","1","PASS","United States of America","Abdullah Gul University Kayseri"
"aberystwyth university","Aberystwyth University","united kingdom","1","united kingdom:3","3","3","PASS","United Kingdom","Aberystwyth University"
"abilene christian university","Abilene Christian University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Abilene Christian University"
"abo akademi university","Abo Akademi University","finland","1","finland:3","3","3","PASS","Finland","Abo Akademi University"
"abu dhabi university","Abu Dhabi University","united arab emirates","1","united arab emirates:3","3","3","PASS","United Arab Emirates","Abu Dhabi University"
"abylkas saginov karaganda technical university","Abylkas Saginov Karaganda Technical University","kazakhstan","1","kazakhstan:3","3","3","PASS","Kazakhstan","Abylkas Saginov Karaganda Technical University"
"acadia university","Acadia University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Acadia University"
"acibadem university","Acibadem University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Acibadem University"
"adam mickiewicz university","Adam Mickiewicz University","poland","1","poland:4","3","4","PASS","Poland","Adam Mickiewicz University"
"addis ababa university","Addis Ababa University","ethiopia","1","ethiopia:3","3","3","PASS","Ethiopia","Addis Ababa University"
"adelphi university","Adelphi University","united states of america","1","united states of america:2","2","2","PASS","United States of America","Adelphi University"
"adiyaman university","Adiyaman University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Adiyaman University"
"adnan menderes university","Adnan Menderes University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Adnan Menderes University"
"afyon kocatepe university","Afyon Kocatepe University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Afyon Kocatepe University"
"aga khan university","Aga Khan University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Aga Khan University"
"agh university of krakow","AGH University of Krakow","poland","1","poland:4","3","4","PASS","Poland","AGH University of Krakow"
"agri mountain university","Agri Mountain University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Agri Mountain University"
"agricultural university of athens","Agricultural University of Athens","united states of america","1","united states of america:1","1","1","PASS","United States of America","Agricultural University of Athens"
"agricultural university of krakow","Agricultural University of Krakow","united states of america","1","united states of america:1","1","1","PASS","United States of America","Agricultural University of Krakow"
"agroparistech","AgroParisTech","france","1","france:1","1","1","PASS","France","AgroParisTech"
"ahi evran university","Ahi Evran University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Ahi Evran University"
"ahlia university","Ahlia University","bahrain","1","bahrain:3","3","3","PASS","Bahrain","Ahlia University"
"ahmadu bello university","Ahmadu Bello University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Ahmadu Bello University"
"ahvaz jundishapur university of medical sciences","Ahvaz Jundishapur University of Medical Sciences","united states of america","1","united states of america:1","1","1","PASS","United States of America","Ahvaz Jundishapur University of Medical Sciences"
"aichi medical university","Aichi Medical University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Aichi Medical University"
"ain shams university","Ain Shams University","egypt","1","egypt:3","3","3","PASS","Egypt","Ain Shams University"
"air university islamabad","Air University Islamabad","united states of america","1","united states of america:1","1","1","PASS","United States of America","Air University Islamabad"
"aix marseille university","Aix-Marseille University","france","1","france:3","3","3","PASS","France","Aix-Marseille University"
"ajman university","Ajman University","united arab emirates","1","united arab emirates:3","3","3","PASS","United Arab Emirates","Ajman University"
"ajou university","Ajou University","south korea","1","south korea:3","3","3","PASS","South Korea","Ajou University"
"akdeniz university","Akdeniz University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Akdeniz University"
"akita university","Akita University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Akita University"
"aksaray university","Aksaray University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Aksaray University"
"al ahliyya amman university","Al-Ahliyya Amman University","jordan","1","jordan:4","3","4","PASS","Jordan","Al-Ahliyya Amman University"
"al ain university","Al Ain University","united arab emirates","1","united arab emirates:3","3","3","PASS","United Arab Emirates","Al Ain University"
"al azhar university","Al Azhar University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Al Azhar University"
"al baha university","Al Baha University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Al Baha University"
"al balqa applied university","Al Balqa Applied University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Al Balqa Applied University"
"al farabi kazakh national university","Al-Farabi Kazakh National University","kazakhstan","1","kazakhstan:3","3","3","PASS","Kazakhstan","Al-Farabi Kazakh National University"
"al furat al awsat technical university","Al Furat Al Awsat Technical University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Al Furat Al Awsat Technical University"
"al imam muhammad ibn saud islamic university","Al Imam Muhammad Ibn Saud Islamic University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Al Imam Muhammad Ibn Saud Islamic University"
"al jouf university","Al Jouf University","saudi arabia","1","saudi arabia:3","3","3","PASS","Saudi Arabia","Al Jouf University"
"al nahrain university","Al Nahrain University","iraq","1","iraq:3","3","3","PASS","Iraq","Al Nahrain University"
"al quds university","Al-Quds University","palestine","1","palestine:3","3","3","PASS","Palestine","Al-Quds University"
"al quds university arab university in jerusalem","Al Quds University Arab University in Jerusalem","united states of america","1","united states of america:1","1","1","PASS","United States of America","Al Quds University Arab University in Jerusalem"
"alabama a and m university","Alabama A&M University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Alabama A&M University"
"alagappa university","Alagappa University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Alagappa University"
"albany college of pharmacy and health sciences","Albany College of Pharmacy and Health Sciences","united states of america","1","united states of america:1","1","1","PASS","United States of America","Albany College of Pharmacy and Health Sciences"
"albany medical college","Albany Medical College","united states of america","1","united states of america:2","2","2","PASS","United States of America","Albany Medical College"
"albert einstein college of medicine","Albert Einstein College of Medicine","united states of america","1","united states of america:1","1","1","PASS","United States of America","Albert Einstein College of Medicine"
"alexandria university","Alexandria University","egypt","1","egypt:3","3","3","PASS","Egypt","Alexandria University"
"alexandru ioan cuza university","Alexandru Ioan Cuza University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Alexandru Ioan Cuza University"
"alfaisal university","Alfaisal University","saudi arabia","1","saudi arabia:3","3","3","PASS","Saudi Arabia","Alfaisal University"
"alfred university","Alfred University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Alfred University"
"aligarh muslim university","Aligarh Muslim University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Aligarh Muslim University"
"all india institute of medical sciences aiims","All India Institute of Medical Sciences AIIMS","united states of america","1","united states of america:1","1","1","PASS","United States of America","All India Institute of Medical Sciences AIIMS"
"allama iqbal open university","Allama Iqbal Open University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Allama Iqbal Open University"
"allen college","Allen College","united states of america","1","united states of america:1","1","1","PASS","United States of America","Allen College"
"alma mater studiorum university of bologna","Alma Mater Studiorum - University of Bologna","italy","1","italy:4","4","4","PASS","Italy","Alma Mater Studiorum - University of Bologna"
"almaarefa university","Almaarefa University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Almaarefa University"
"alpen adria universitat klagenfurt","Alpen Adria Universitat Klagenfurt","united states of america","1","united states of america:1","1","1","PASS","United States of America","Alpen Adria Universitat Klagenfurt"
"altai state university","Altai State University","russian federation","1","russian federation:3","3","3","PASS","Russian Federation","Altai State University"
"alzahra university azzahra university","Alzahra University (Azzahra University)","united states of america","1","united states of america:1","1","1","PASS","United States of America","Alzahra University (Azzahra University)"
"american college of greece deree college","American College of Greece (Deree College","united states of america","1","united states of america:1","1","1","PASS","United States of America","American College of Greece (Deree College"
"american university","American University","united states of america","1","united states of america:5","5","5","PASS","United States of America","American University"
"american university in cairo","American University in Cairo","united states of america","1","united states of america:1","1","1","PASS","United States of America","American University in Cairo"
"american university in dubai","American University in Dubai","united arab emirates","1","united arab emirates:3","3","3","PASS","United Arab Emirates","American University in Dubai"
"american university of antigua aua college of medicine","American University of Antigua (AUA) College of Medicine","antigua and barbuda","1","antigua and barbuda:1","1","1","PASS","Antigua And Barbuda","American University of Antigua (AUA) College of Medicine"
"american university of beirut aub","American University of Beirut (AUB)","lebanon","1","lebanon:4","3","4","PASS","Lebanon","American University of Beirut (AUB)"
"american university of central asia","American University of Central Asia","kyrgyzstan","1","kyrgyzstan:3","3","3","PASS","Kyrgyzstan","American University of Central Asia"
"american university of ras al khaimah aurak","American University of Ras Al Khaimah ( AURAK )","united arab emirates","1","united arab emirates:3","3","3","PASS","United Arab Emirates","American University of Ras Al Khaimah ( AURAK )"
"american university of sharjah","American University of Sharjah","united states of america","1","united states of america:1","1","1","PASS","United States of America","American University of Sharjah"
"american university of sharjah aus","American University of Sharjah (AUS)","united arab emirates","1","united arab emirates:3","3","3","PASS","United Arab Emirates","American University of Sharjah (AUS)"
"american university of the middle east","American University of the Middle East","kuwait","1","kuwait:3","3","3","PASS","Kuwait","American University of the Middle East"
"american university washington dc","American University Washington DC","united states of america","1","united states of america:1","1","1","PASS","United States of America","American University Washington DC"
"amherst college","Amherst College","united states of america","1","united states of america:2","2","2","PASS","United States of America","Amherst College"
"amirkabir university of technology","Amirkabir University of Technology","iran","1","iran:3","3","3","PASS","Iran","Amirkabir University of Technology"
"amity university","Amity University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Amity University"
"amman arab university","Amman Arab University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Amman Arab University"
"amrita university","Amrita University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Amrita University"
"an najah national university","An Najah National University","united states of america","1","united states of america:1","1","1","PASS","United States of America","An Najah National University"
"andhra university visakhapatnam","Andhra University Visakhapatnam","united states of america","1","united states of america:1","1","1","PASS","United States of America","Andhra University Visakhapatnam"
"andrews university","Andrews University","united states of america","1","united states of america:2","2","2","PASS","United States of America","Andrews University"
"anhui agricultural university","Anhui Agricultural University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Anhui Agricultural University"
"anhui medical university","Anhui Medical University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Anhui Medical University"
"anhui normal university","Anhui Normal University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Anhui Normal University"
"anhui polytechnic university anhui university of technology and science","Anhui Polytechnic University (Anhui University of Technology & Science)","united states of america","1","united states of america:1","1","1","PASS","United States of America","Anhui Polytechnic University (Anhui University of Technology & Science)"
"anhui university","Anhui University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Anhui University"
"anhui university of finance and economics","Anhui University of Finance & Economics","united states of america","1","united states of america:1","1","1","PASS","United States of America","Anhui University of Finance & Economics"
"anhui university of science and technology","Anhui University of Science & Technology","united states of america","1","united states of america:1","1","1","PASS","United States of America","Anhui University of Science & Technology"
"anhui university of technology","Anhui University of Technology","united states of america","1","united states of america:1","1","1","PASS","United States of America","Anhui University of Technology"
"ankara universitesi","Ankara Universitesi","turkiye","1","turkiye:3","3","3","PASS","Turkiye","Ankara Universitesi"
"ankara university","Ankara University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Ankara University"
"anna university","Anna University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Anna University"
"annamalai university","Annamalai University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Annamalai University"
"aoyama gakuin university","Aoyama Gakuin University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Aoyama Gakuin University"
"appalachian state university","Appalachian State University","united states of america","1","united states of america:2","2","2","PASS","United States of America","Appalachian State University"
"applied science private university jordan","Applied Science Private University - Jordan","jordan","1","jordan:4","3","4","PASS","Jordan","Applied Science Private University - Jordan"
"applied science university bahrain","Applied Science University - Bahrain","bahrain","1","bahrain:3","3","3","PASS","Bahrain","Applied Science University - Bahrain"
"arab academy for science and technology and maritime transport","Arab Academy for Science & Technology and Maritime Transport","united states of america","1","united states of america:1","1","1","PASS","United States of America","Arab Academy for Science & Technology and Maritime Transport"
"arak university of medical sciences","Arak University of Medical Sciences","united states of america","1","united states of america:2","1","2","PASS","United States of America","Arak University of Medical Sciences"
"arcadia university","Arcadia University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Arcadia University"
"ardabil university of medical sciences","Ardabil University of Medical Sciences","united states of america","1","united states of america:1","1","1","PASS","United States of America","Ardabil University of Medical Sciences"
"ariel university","Ariel University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Ariel University"
"aristotle university of thessaloniki","Aristotle University of Thessaloniki","greece","1","greece:3","3","3","PASS","Greece","Aristotle University of Thessaloniki"
"arizona state university","Arizona State University","united states of america","1","united states of america:8","8","8","PASS","United States of America","Arizona State University"
"arizona state university downtown phoenix","Arizona State University- Downtown Phoenix","united states of america","1","united states of america:1","1","1","PASS","United States of America","Arizona State University- Downtown Phoenix"
"arizona state university polytechnic","Arizona State University- Polytechnic","united states of america","1","united states of america:1","1","1","PASS","United States of America","Arizona State University- Polytechnic"
"arizona state university skysong","Arizona State University- Skysong","united states of america","1","united states of america:1","1","1","PASS","United States of America","Arizona State University- Skysong"
"arizona state university west","Arizona State University- West","united states of america","1","united states of america:1","1","1","PASS","United States of America","Arizona State University- West"
"arkansas state university","Arkansas State University","united states of america","1","united states of america:2","2","2","PASS","United States of America","Arkansas State University"
"arts et metiers paristech","Arts et Metiers ParisTech","united states of america","1","united states of america:1","1","1","PASS","United States of America","Arts et Metiers ParisTech"
"aru anglia ruskin university","ARU Anglia Ruskin University","united states of america","1","united states of america:1","1","1","PASS","United States of America","ARU Anglia Ruskin University"
"asia pacific university of technology and innovation apu malaysia","Asia Pacific University of Technology and Innovation (APU) Malaysia","malaysia","1","malaysia:3","3","3","PASS","Malaysia","Asia Pacific University of Technology and Innovation (APU) Malaysia"
"asia university taiwan","Asia University Taiwan","taiwan","1","taiwan:3","3","3","PASS","Taiwan","Asia University Taiwan"
"asian institute of technology thailand","Asian Institute of Technology Thailand","united states of america","1","united states of america:1","1","1","PASS","United States of America","Asian Institute of Technology Thailand"
"assam university","Assam University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Assam University"
"assiut university","Assiut University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Assiut University"
"assumption university of thailand","Assumption University of Thailand","united states of america","1","united states of america:1","1","1","PASS","United States of America","Assumption University of Thailand"
"aston university","Aston University","united kingdom","1","united kingdom:3","3","3","PASS","United Kingdom","Aston University"
"ataturk university","Ataturk University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Ataturk University"
"ateneo de manila university","Ateneo de Manila University","philippines","1","philippines:3","3","3","PASS","Philippines","Ateneo de Manila University"
"athabasca university","Athabasca University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Athabasca University"
"athens university of economics and business","Athens University of Economics And Business","greece","1","greece:4","3","4","PASS","Greece","Athens University of Economics And Business"
"atilim university","Atilim University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Atilim University"
"atlantic technological university","Atlantic Technological University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Atlantic Technological University"
"auburn university","Auburn University","united states of america","1","united states of america:6","6","6","PASS","United States of America","Auburn University"
"auburn university montgomery","Auburn University Montgomery","united states of america","1","united states of america:1","1","1","PASS","United States of America","Auburn University Montgomery"
"auckland university of technology","Auckland University of Technology","new zealand","1","new zealand:3","3","3","PASS","New Zealand","Auckland University of Technology"
"audencia business school","Audencia Business School","france","1","france:1","1","1","PASS","France","Audencia Business School"
"auezov south kazakhstan state university sksu","Auezov South Kazakhstan State University (SKSU)","kazakhstan","1","kazakhstan:3","3","3","PASS","Kazakhstan","Auezov South Kazakhstan State University (SKSU)"
"augusta university georgia regents university augusta state university","Augusta University (Georgia Regents University Augusta State University)","united states of america","1","united states of america:1","1","1","PASS","United States of America","Augusta University (Georgia Regents University Augusta State University)"
"australian catholic university","Australian Catholic University","australia","1","australia:4","4","4","PASS","Australia","Australian Catholic University"
"australian national university","Australian National University","australia","1","australia:7","7","7","PASS","Australia","Australian National University"
"autonomous university of barcelona universitat autonoma de barcelona","Autonomous University of Barcelona (Universitat Autonoma de Barcelona)","spain","1","spain:1","1","1","PASS","Spain","Autonomous University of Barcelona (Universitat Autonoma de Barcelona)"
"azerbaijan state oil and industry university","Azerbaijan State Oil and Industry University","azerbaijan","1","azerbaijan:3","3","3","PASS","Azerbaijan","Azerbaijan State Oil and Industry University"
"azerbaijan state university of economics","Azerbaijan State University of Economics","azerbaijan","1","azerbaijan:3","3","3","PASS","Azerbaijan","Azerbaijan State University of Economics"
"azerbaijan technical university","Azerbaijan Technical University","azerbaijan","1","azerbaijan:3","3","3","PASS","Azerbaijan","Azerbaijan Technical University"
"azusa pacific university","Azusa Pacific University","united states of america","1","united states of america:2","2","2","PASS","United States of America","Azusa Pacific University"
"babes bolyai university","Babes-Bolyai University","romania","1","romania:3","3","3","PASS","Romania","Babes-Bolyai University"
"babol noshirvani university of technology noshirvani institute of technology babol","Babol Noshirvani University of Technology Noshirvani Institute of Technology Babol","united states of america","1","united states of america:1","1","1","PASS","United States of America","Babol Noshirvani University of Technology Noshirvani Institute of Technology Babol"
"babson college","Babson College","united states of america","1","united states of america:3","3","3","PASS","United States of America","Babson College"
"bahauddin zakariya university","Bahauddin Zakariya University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Bahauddin Zakariya University"
"bahcesehir universitesi bau","Bahcesehir Universitesi BAU","united states of america","1","united states of america:1","1","1","PASS","United States of America","Bahcesehir Universitesi BAU"
"bahir dar university","Bahir Dar University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Bahir Dar University"
"bahria university","Bahria University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Bahria University"
"baku engineering university","Baku Engineering University","azerbaijan","1","azerbaijan:3","3","3","PASS","Azerbaijan","Baku Engineering University"
"baku state university","Baku State University","azerbaijan","1","azerbaijan:3","3","3","PASS","Azerbaijan","Baku State University"
"balikesir university","Balikesir University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Balikesir University"
"ball state university","Ball State University","united states of america","1","united states of america:2","2","2","PASS","United States of America","Ball State University"
"banaras hindu university","Banaras Hindu University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Banaras Hindu University"
"bandung institute of technology itb","Bandung Institute of Technology (ITB)","indonesia","1","indonesia:3","3","3","PASS","Indonesia","Bandung Institute of Technology (ITB)"
"bangladesh agricultural university","Bangladesh Agricultural University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Bangladesh Agricultural University"
"bangladesh university of engineering and technology","Bangladesh University of Engineering and Technology","bangladesh","1","bangladesh:3","3","3","PASS","Bangladesh","Bangladesh University of Engineering and Technology"
"bangor university","Bangor University","united kingdom","1","united kingdom:3","3","3","PASS","United Kingdom","Bangor University"
"baqiyatallah medical sciences university","Baqiyatallah Medical Sciences University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Baqiyatallah Medical Sciences University"
"bar ilan university","Bar-Ilan University","israel","1","israel:4","3","4","PASS","Israel","Bar-Ilan University"
"bard college","Bard College","united states of america","1","united states of america:1","1","1","PASS","United States of America","Bard College"
"barnard college","Barnard College","united states of america","1","united states of america:1","1","1","PASS","United States of America","Barnard College"
"barnard college columbia university","Barnard College Columbia University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Barnard College Columbia University"
"barry university","Barry University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Barry University"
"bartin university","Bartin University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Bartin University"
"baruch college of the city university of new york","Baruch College of the City University of New York","united states of america","1","united states of america:1","1","1","PASS","United States of America","Baruch College of the City University of New York"
"baskent university","Baskent University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Baskent University"
"bates college","Bates College","united states of america","1","united states of america:2","2","2","PASS","United States of America","Bates College"
"bath spa university","Bath Spa University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Bath Spa University"
"batman university","Batman University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Batman University"
"bauhaus universitat weimar","Bauhaus Universitat Weimar","united states of america","1","united states of america:1","1","1","PASS","United States of America","Bauhaus Universitat Weimar"
"bauman moscow state technical university","Bauman Moscow State Technical University","russian federation","1","russian federation:3","3","3","PASS","Russian Federation","Bauman Moscow State Technical University"
"bayero university kano","Bayero University Kano","united states of america","1","united states of america:1","1","1","PASS","United States of America","Bayero University Kano"
"baylor college of medicine","Baylor College of Medicine","united states of america","1","united states of america:3","3","3","PASS","United States of America","Baylor College of Medicine"
"baylor university","Baylor University","united states of america","1","united states of america:4","4","4","PASS","United States of America","Baylor University"
"beihang university","Beihang University","china","1","china:3","3","3","PASS","China","Beihang University"
"beijing foreign studies university","Beijing Foreign Studies University","china","1","china:1","1","1","PASS","China","Beijing Foreign Studies University"
"beijing forestry university","Beijing Forestry University","china","1","china:1","1","1","PASS","China","Beijing Forestry University"
"beijing information science and technology university","Beijing Information Science & Technology University","china","1","china:1","1","1","PASS","China","Beijing Information Science & Technology University"
"beijing institute of technology","Beijing Institute of Technology","china","1","china:4","4","4","PASS","China","Beijing Institute of Technology"
"beijing jiaotong university","Beijing Jiaotong University","china","1","china:3","3","3","PASS","China","Beijing Jiaotong University"
"beijing language and culture university","Beijing Language and Culture University","china","1","china:1","1","1","PASS","China","Beijing Language and Culture University"
"beijing normal university","Beijing Normal University","china","1","china:3","3","3","PASS","China","Beijing Normal University"
"beijing sport university","Beijing Sport University","china","1","china:1","1","1","PASS","China","Beijing Sport University"
"beijing technology and business university","Beijing Technology & Business University","china","1","china:1","1","1","PASS","China","Beijing Technology & Business University"
"beijing university of chemical technology","Beijing University of Chemical Technology","china","1","china:3","3","3","PASS","China","Beijing University of Chemical Technology"
"beijing university of chinese medicine","Beijing University of Chinese Medicine","china","1","china:1","1","1","PASS","China","Beijing University of Chinese Medicine"
"beijing university of civil engineering and architecture","Beijing University of Civil Engineering & Architecture","china","1","china:1","1","1","PASS","China","Beijing University of Civil Engineering & Architecture"
"beijing university of posts and telecommunications","Beijing University of Posts and Telecommunications","china","1","china:1","1","1","PASS","China","Beijing University of Posts and Telecommunications"
"beijing university of technology","Beijing University of Technology","china","1","china:3","3","3","PASS","China","Beijing University of Technology"
"beirut arab university","Beirut Arab University","lebanon","1","lebanon:3","3","3","PASS","Lebanon","Beirut Arab University"
"belarusian national technical university","Belarusian National Technical University","belarus","1","belarus:3","3","3","PASS","Belarus","Belarusian National Technical University"
"belarusian state university","Belarusian State University","belarus","1","belarus:3","3","3","PASS","Belarus","Belarusian State University"
"bellin college","Bellin College","united states of america","1","united states of america:1","1","1","PASS","United States of America","Bellin College"
"belmont university","Belmont University","united states of america","1","united states of america:2","2","2","PASS","United States of America","Belmont University"
"ben gurion university of the negev","Ben Gurion University of The Negev","israel","1","israel:4","3","4","PASS","Israel","Ben Gurion University of The Negev"
"benemerita universidad autonoma de puebla","Benemerita Universidad Autonoma de Puebla","united states of america","1","united states of america:1","1","1","PASS","United States of America","Benemerita Universidad Autonoma de Puebla"
"benha university","Benha University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Benha University"
"beni suef university","Beni Suef University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Beni Suef University"
"bentley university","Bentley University","united states of america","1","united states of america:2","2","2","PASS","United States of America","Bentley University"
"bergische universitat wuppertal","Bergische Universitat Wuppertal","united states of america","1","united states of america:1","1","1","PASS","United States of America","Bergische Universitat Wuppertal"
"berry college","Berry College","united states of america","1","united states of america:1","1","1","PASS","United States of America","Berry College"
"beykent university","Beykent University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Beykent University"
"bfh berner fachhochschule","BFH Berner Fachhochschule","united states of america","1","united states of america:1","1","1","PASS","United States of America","BFH Berner Fachhochschule"
"bharathiar university coimbatore","Bharathiar University Coimbatore","united states of america","1","united states of america:1","1","1","PASS","United States of America","Bharathiar University Coimbatore"
"bharathidasan university","Bharathidasan University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Bharathidasan University"
"bi norwegian business school","BI Norwegian Business School","united states of america","1","united states of america:1","1","1","PASS","United States of America","BI Norwegian Business School"
"bialystok university of technology","Bialystok University of Technology","united states of america","1","united states of america:1","1","1","PASS","United States of America","Bialystok University of Technology"
"bilkent university","Bilkent University","turkiye","1","turkiye:3","3","3","PASS","Turkiye","Bilkent University"
"binghamton university","Binghamton University","united states of america","1","united states of america:2","2","2","PASS","United States of America","Binghamton University"
"binghamton university state university of new york","Binghamton University, State University of New York","united states of america","1","united states of america:1","1","1","PASS","United States of America","Binghamton University, State University of New York"
"binghamton university suny","Binghamton University - SUNY","united states of america","1","united states of america:1","1","1","PASS","United States of America","Binghamton University - SUNY"
"bingol university","Bingol University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Bingol University"
"binus university bina nusantara university","BINUS UNIVERSITY (Bina Nusantara University)","indonesia","1","indonesia:3","3","3","PASS","Indonesia","BINUS UNIVERSITY (Bina Nusantara University)"
"binzhou medical college","Binzhou Medical College","united states of america","1","united states of america:1","1","1","PASS","United States of America","Binzhou Medical College"
"biola university","Biola University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Biola University"
"birjand university of medical sciences","Birjand University of Medical Sciences","united states of america","1","united states of america:1","1","1","PASS","United States of America","Birjand University of Medical Sciences"
"birkbeck college university of london","Birkbeck College, University of London","united kingdom","1","united kingdom:3","3","3","PASS","United Kingdom","Birkbeck College, University of London"
"birkbeck university of london","Birkbeck University of London","united kingdom","1","united kingdom:2","2","2","PASS","United Kingdom","Birkbeck University of London"
"birla institute of technology and science pilani","Birla Institute of Technology & Science Pilani","united states of america","1","united states of america:1","1","1","PASS","United States of America","Birla Institute of Technology & Science Pilani"
"birla institute of technology mesra ranchi","Birla Institute of Technology Mesra Ranchi","united states of america","1","united states of america:1","1","1","PASS","United States of America","Birla Institute of Technology Mesra Ranchi"
"birmingham city university university of central england","Birmingham City University (University of Central England)","united kingdom","1","united kingdom:1","1","1","PASS","United Kingdom","Birmingham City University (University of Central England)"
"birzeit university","Birzeit University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Birzeit University"
"bishops university","Bishops University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Bishops University"
"blekinge institute of technology","Blekinge Institute of Technology","united states of america","1","united states of america:1","1","1","PASS","United States of America","Blekinge Institute of Technology"
"bocconi university","Bocconi University","italy","1","italy:2","2","2","PASS","Italy","Bocconi University"
"bogazici university","Bogazici University","turkiye","1","turkiye:3","3","3","PASS","Turkiye","Bogazici University"
"boise state university","Boise State University","united states of america","1","united states of america:3","3","3","PASS","United States of America","Boise State University"
"bon secours memorial college of nursing","Bon Secours Memorial College of Nursing","united states of america","1","united states of america:1","1","1","PASS","United States of America","Bon Secours Memorial College of Nursing"
"bond university","Bond University","australia","1","australia:3","3","3","PASS","Australia","Bond University"
"bordeaux inp","Bordeaux INP","united states of america","1","united states of america:1","1","1","PASS","United States of America","Bordeaux INP"
"boston college","Boston College","united states of america","1","united states of america:6","6","6","PASS","United States of America","Boston College"
"boston university","Boston University","united states of america","1","united states of america:9","9","9","PASS","United States of America","Boston University"
"bournemouth university","Bournemouth University","united kingdom","1","united kingdom:3","3","3","PASS","United Kingdom","Bournemouth University"
"bowdoin college","Bowdoin College","united states of america","1","united states of america:2","2","2","PASS","United States of America","Bowdoin College"
"bowling green state university","Bowling Green State University","united states of america","1","united states of america:2","2","2","PASS","United States of America","Bowling Green State University"
