"UniversityNorm","UniversityDisplay","FinalCountryNorm","DistinctCountries","CountryBreakdown","UniqueLenders","TotalRows","Status","RawCountryValues","RawNameValues"
"em lyon business school","EM Lyon Business School","united states of america","1","united states of america:1","1","1","PASS","United States of America","EM Lyon Business School"
"embry riddle aeronautical university","Embry Riddle Aeronautical University","united states of america","1","united states of america:2","2","2","PASS","United States of America","Embry Riddle Aeronautical University"
"embry riddle aeronautical university daytona beach","Embry-Riddle Aeronautical University-Daytona Beach","united states of america","1","united states of america:1","1","1","PASS","United States of America","Embry-Riddle Aeronautical University-Daytona Beach"
"embry riddle aeronautical university prescott","Embry-Riddle Aeronautical University-Prescott","united states of america","1","united states of america:1","1","1","PASS","United States of America","Embry-Riddle Aeronautical University-Prescott"
"emerson college","Emerson College","united states of america","1","united states of america:2","2","2","PASS","United States of America","Emerson College"
"emlyon business school","Emlyon business school","france","1","france:1","1","1","PASS","France","Emlyon business school"
"emory university","Emory University","united states of america","1","united states of america:9","9","9","PASS","United States of America","Emory University"
"emporia state university","Emporia State University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Emporia State University"
"eotvos lorand university","Eotvos Lorand University","hungary","1","hungary:3","3","3","PASS","Hungary","Eotvos Lorand University"
"eotvos lorand university budapest","Eotvos Lorand University Budapest","united states of america","1","united states of america:1","1","1","PASS","United States of America","Eotvos Lorand University Budapest"
"epfl ecole polytechnique federale de lausanne","EPFL (Ecole Polytechnique Federale de Lausanne)","switzerland","1","switzerland:1","1","1","PASS","Switzerland","EPFL (Ecole Polytechnique Federale de Lausanne)"
"erasmus university of rotterdam","Erasmus University of Rotterdam","netherlands","1","netherlands:2","2","2","PASS","Netherlands","Erasmus University of Rotterdam"
"erasmus university rotterdam","Erasmus University Rotterdam","netherlands","1","netherlands:6","6","6","PASS","Netherlands","Erasmus University Rotterdam"
"erciyes university","Erciyes University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Erciyes University"
"ernst moritz arndt universitat greifswald","Ernst Moritz Arndt Universitat Greifswald","united states of america","1","united states of america:1","1","1","PASS","United States of America","Ernst Moritz Arndt Universitat Greifswald"
"escp business school","ESCP Business School","france","1","france:1","1","1","PASS","France","ESCP Business School"
"escp europe business school","ESCP Europe Business School","united kingdom","1","united kingdom:1","1","1","PASS","United Kingdom","ESCP Europe Business School"
"escuela politecnica nacional","Escuela Politecnica Nacional","united states of america","1","united states of america:1","1","1","PASS","United States of America","Escuela Politecnica Nacional"
"escuela superior politecnica del litoral","Escuela Superior Politecnica del Litoral","united states of america","1","united states of america:1","1","1","PASS","United States of America","Escuela Superior Politecnica del Litoral"
"escuela superior politecnica del litoral espol","Escuela Superior Politecnica del Litoral - ESPOL","ecuador","1","ecuador:3","3","3","PASS","Ecuador","Escuela Superior Politecnica del Litoral - ESPOL"
"esic escuela superior de gestion comercial y marketing","ESIC Escuela Superior de Gestion Comercial y Marketing","united states of america","1","united states of america:1","1","1","PASS","United States of America","ESIC Escuela Superior de Gestion Comercial y Marketing"
"eskisehir osmangazi university","Eskisehir Osmangazi University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Eskisehir Osmangazi University"
"esmt berlin","ESMT Berlin","germany","1","germany:1","1","1","PASS","Germany","ESMT Berlin"
"essec business school","ESSEC Business School","france","1","france:1","1","1","PASS","France","ESSEC Business School"
"estonian university of life sciences","Estonian University of Life Sciences","united states of america","1","united states of america:1","1","1","PASS","United States of America","Estonian University of Life Sciences"
"eth zurich","ETH Zurich","switzerland","1","switzerland:7","7","7","PASS","Switzerland","ETH Zurich"
"eth zurich swiss federal institute of technology","ETH Zurich - Swiss Federal Institute of Technology","switzerland","1","switzerland:1","1","1","PASS","Switzerland","ETH Zurich - Swiss Federal Institute of Technology"
"europa universitat viadrina frankfurt oder","Europa Universitat Viadrina Frankfurt Oder","united states of america","1","united states of america:1","1","1","PASS","United States of America","Europa Universitat Viadrina Frankfurt Oder"
"european university cyprus","European University Cyprus","united states of america","1","united states of america:1","1","1","PASS","United States of America","European University Cyprus"
"european university institute","European University Institute","united states of america","1","united states of america:1","1","1","PASS","United States of America","European University Institute"
"european university of lefke eul","European University of Lefke (EUL)","northern cyprus","1","northern cyprus:3","3","3","PASS","Northern Cyprus","European University of Lefke (EUL)"
"ewha womans university","Ewha Womans University","south korea","1","south korea:3","3","3","PASS","South Korea","Ewha Womans University"
"ewha womens university","Ewha Womens University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Ewha Womens University"
"fachhochschule munster","Fachhochschule Munster","united states of america","1","united states of america:1","1","1","PASS","United States of America","Fachhochschule Munster"
"fachhochschule nordwestschweiz","Fachhochschule Nordwestschweiz","united states of america","1","united states of america:1","1","1","PASS","United States of America","Fachhochschule Nordwestschweiz"
"fachhochschule oberosterreich","Fachhochschule Oberosterreich","united states of america","1","united states of america:1","1","1","PASS","United States of America","Fachhochschule Oberosterreich"
"fairfield university","Fairfield University","united states of america","1","united states of america:2","2","2","PASS","United States of America","Fairfield University"
"fairleigh dickinson university","Fairleigh Dickinson University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Fairleigh Dickinson University"
"far eastern federal university","Far Eastern Federal University","russian federation","1","russian federation:3","3","3","PASS","Russian Federation","Far Eastern Federal University"
"fayetteville state university","Fayetteville State University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Fayetteville State University"
"fayoum university","Fayoum University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Fayoum University"
"federal university of agriculture abeokuta","Federal University of Agriculture Abeokuta","united states of america","1","united states of america:1","1","1","PASS","United States of America","Federal University of Agriculture Abeokuta"
"federal university of technology akure","Federal University of Technology Akure","united states of america","1","united states of america:1","1","1","PASS","United States of America","Federal University of Technology Akure"
"federal university of technology minna","Federal University of Technology Minna","united states of america","1","united states of america:1","1","1","PASS","United States of America","Federal University of Technology Minna"
"federation university australia","Federation University Australia","united states of america","1","united states of america:1","1","1","PASS","United States of America","Federation University Australia"
"feng chia university","Feng Chia University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Feng Chia University"
"ferdowsi university of mashhad","Ferdowsi University of Mashhad","iran","1","iran:3","3","3","PASS","Iran","Ferdowsi University of Mashhad"
"fernuniversitat in hagen","FernUniversitat in Hagen","united states of america","1","united states of america:1","1","1","PASS","United States of America","FernUniversitat in Hagen"
"financial university under the government of the russian federation","Financial University under the Government of the Russian Federation","united states of america","1","united states of america:1","1","1","PASS","United States of America","Financial University under the Government of the Russian Federation"
"firat university","Firat University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Firat University"
"fitchburg state university","Fitchburg State University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Fitchburg State University"
"flinders university","Flinders University","australia","1","australia:3","3","3","PASS","Australia","Flinders University"
"florida a and m university","Florida A&M University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Florida A&M University"
"florida agricultural and mechanical university","Florida Agricultural & Mechanical University","united states of america","1","united states of america:1","1","1","PASS","United States of America","Florida Agricultural & Mechanical University"
"florida atlantic university","Florida Atlantic University","united states of america","1","united states of america:4","4","4","PASS","United States of America","Florida Atlantic University"
